ขึ้นอยู่กับ (khʉ̂n yùu gàp) - Depends on |  | CU-TFL Level 4
ถึงแม้ว่า (thʉ̌ng máew wâa) - Even if, although |  | CU-TFL Level 4
เรียบร้อย (riab rɔ́ɔi) - Smoothly, successfully |  | CU-TFL Level 4
พร้อมกับ (phrôom gàp) - Along with, together with |  | CU-TFL Level 4
นอกจาก...แต่ยัง... (nâwk jàak... dtàe yang...) - Not only... but also... |  | CU-TFL Level 4
ใครๆ (khrǎi khrǎi) - Anyone, everybody |  | CU-TFL Level 4
เกี่ยวข้อง (gìiao khɔ̂ng) - Related to, involved with |  | CU-TFL Level 4
บ้างครั้ง (bâang kráng) - Sometimes, occasionally |  | CU-TFL Level 4
ตามปกติ (dtaam pkò-dtì) - Normally, usually |  | CU-TFL Level 4
ขณะนั้น (khànà nán) - At that time, then |  | CU-TFL Level 4
เกือบจะ (gʉ̀ʉb jà) - Almost, nearly about to |  | CU-TFL Level 4
ให้แก่ (hâi gè) - To give to, for the benefit of |  | CU-TFL Level 4
ซึ่งกันและกัน (sʉ̂ng gan láe gan) - Mutual, with each other |  | CU-TFL Level 4
นับจาก (náp jàak) - Counting from, starting from |  | CU-TFL Level 4
สู้กับ (sûu gàp) - To compete with, fight against |  | CU-TFL Level 4
ซึ่งเมื่อ (sʉ̂ng mʉ̂a) - When, at the time that |  | CU-TFL Level 4
อย่างที่ (yâang thîi) - As, like how |  | CU-TFL Level 4
จนบัดนี้ (jon bàt níi) - Up to now, so far |  | CU-TFL Level 4
ไม่ว่าจะ (mâi wâa jà) - Regardless of whether, no matter |  | CU-TFL Level 4
ตลอดจน (dtà-lɔ̀ɔt jon) - From... to, all the way until |  | CU-TFL Level 4
เป็นต้นไป (pen dtôn bpai) - Onward, and so on |  | CU-TFL Level 4
