被 (bèi) - Passive voice marker |  | - HSK Level 3
只有 (zhǐyǒu) - Only, solely |  | - HSK Level 3
一边...一边... (yìbiān... yìbiān...) - Doing two actions simultaneously |  | - HSK Level 3
要是 (yàoshi) - If |  | - HSK Level 3
无所谓 (wúsuǒwèi) - Doesn't matter, indifferent |  | - HSK Level 3
正好 (zhènghǎo) - Just right, just in time |  | - HSK Level 3
除非 (chúfēi) - Unless |  | - HSK Level 3
其中 (qízhōng) - Among, within |  | - HSK Level 3
以为 (yǐwéi) - To believe, to think (mistakenly) |  | - HSK Level 3
以外 (yǐwài) - Beyond, except for |  | - HSK Level 3
根据 (gēnjù) - According to |  | - HSK Level 3
由 (yóu) - Because of, due to |  | - HSK Level 3
至于 (zhìyú) - As for, regarding |  | - HSK Level 3
为了 (wèile) - In order to, for the purpose of |  | - HSK Level 3
似的 (shìde) - Seems like, as if |  | - HSK Level 3
甚至于 (shènzhìyú) - Even to the extent that |  | - HSK Level 3
除...之外 (chú...zhīwài) - Apart from, besides |  | - HSK Level 3
反正 (fǎnzhèng) - Anyway, anyhow |  | - HSK Level 3
总是 (zǒngshì) - Always |  | - HSK Level 3
曾经 (céngjīng) - Once, previously |  | - HSK Level 3
好像 (hǎoxiàng) - Seem, be like |  | - HSK Level 3
实际上 (shíjìshàng) - In fact, actually |  | - HSK Level 3
假如 (jiǎrú) - If, suppose |  | - HSK Level 3
再说 (zàishuō) - Moreover, besides |  | - HSK Level 3
不过 (búguò) - However, but |  | - HSK Level 3
而且 (érqiě) - Furthermore, and |  | - HSK Level 3
好在 (hǎozài) - Fortunately, luckily |  | - HSK Level 3
哪怕 (nǎpà) - Even if |  | - HSK Level 3
何况 (hékuàng) - Let alone, moreover |  | - HSK Level 3
即使 (jíshǐ) - Even if, even though |  | - HSK Level 3
其实 (qíshí) - Actually, in fact |  | - HSK Level 3
仍然 (réng rán) - Still, yet |  | - HSK Level 3
并且 (bìngqiě) - And, furthermore, moreover |  | - HSK Level 3
至少 (zhìshǎo) - At least |  | - HSK Level 3
不然 (bùrán) - Otherwise, or else |  | - HSK Level 3
虽说 (suīshuō) - Although, though |  | - HSK Level 3
难道 (nándào) - Used rhetorically to express surprise or disbelief |  | - HSK Level 3
反之 (fǎnzhī) - On the contrary |  | - HSK Level 3
否则 (fǒuzé) - Otherwise, if not |  | - HSK Level 3
或者 (huòzhě) - Or, perhaps |  | - HSK Level 3
于是 (yúshì) - Therefore, so |  | - HSK Level 3
偶尔 (ǒu'ěr) - Occasionally, once in a while |  | - HSK Level 3
尤其 (yóuqí) - Especially, particularly |  | - HSK Level 3
当然 (dāngrán) - Of course, naturally |  | - HSK Level 3
既然 (jìrán) - Since, now that |  | - HSK Level 3
正如 (zhèngrú) - Just as, as |  | - HSK Level 3
唯一 (wéiyī) - The only, sole |  | - HSK Level 3
越...越... (yuè...yuè...) - The more... the more... |  | - HSK Level 3
不但...而且... (búdàn...érqiě...) - Not only... but also... |  | - HSK Level 3
不仅...还... (bùjǐn...hái...) - Not only... but also... |  | - HSK Level 3
即便 (jíbiàn) - Even if, even though |  | - HSK Level 3
尽管 (jǐnguǎn) - Despite, although |  | - HSK Level 3
按照 (ànzhào) - According to, in accordance with |  | - HSK Level 3
一般 (yìbān) - Generally, usually |  | - HSK Level 3
相对 (xiāngduì) - Relative, comparatively |  | - HSK Level 3
连...都/也... (lián...dōu/yě...) - Even... |  | - HSK Level 3
不如 (bùrú) - Not as good as, inferior to |  | - HSK Level 3
无论 (wúlùn) - No matter, regardless of |  | - HSK Level 3
即 (jí) - Namely, that is |  | - HSK Level 3
既...又... (jì...yòu...) - Both... and... |  | - HSK Level 3
首先 (shǒuxiān) - First of all, firstly |  | - HSK Level 3
最后 (zuìhòu) - Finally, lastly |  | - HSK Level 3
只要...就... (zhǐyào...jiù...) - As long as... then... |  | - HSK Level 3
只有...才... (zhǐyǒu...cái...) - Only if... then... |  | - HSK Level 3
就算 (jiùsuàn) - Even if, granted that |  | - HSK Level 3
反而 (fǎn'ér) - On the contrary, instead |  | - HSK Level 3
光是 (guāngshì) - Merely, just |  | - HSK Level 3
以便 (yǐbiàn) - So that, in order to |  | - HSK Level 3
除非...否则... (chúfēi...fǒuzé...) - Unless... otherwise... |  | - HSK Level 3
虽然...但是... (suīrán...dànshì...) - Although... but... |  | - HSK Level 3
与其...不如... (yǔqí...bùrú...) - Rather than... it's better to... |  | - HSK Level 3
不止 (bùzhǐ) - More than, not limited to |  | - HSK Level 3
并不 (bìngbù) - Not at all, not really |  | - HSK Level 3
甚至 (shènzhì) - Even, to the extent that |  | - HSK Level 3
与 (yǔ) - And, with |  | - HSK Level 3
早已 (zǎoyǐ) - Long ago, for a long time |  | - HSK Level 3
反过来 (fǎnguòlái) - Conversely, on the other hand |  | - HSK Level 3
以至于 (yǐzhìyú) - So that, to the extent that |  | - HSK Level 3
就此 (jiùcǐ) - Thus, henceforth |  | - HSK Level 3
并非 (bìngfēi) - Not, not really |  | - HSK Level 3
可是 (kěshì) - But, however |  | - HSK Level 3
趁 (chèn) - To take advantage of, while |  | - HSK Level 3
由于 (yóuyú) - Due to, because of |  | - HSK Level 3
至于 (zhìyú) - As for, regarding |  | - HSK Level 3
反正 (fǎnzhèng) - Anyway, in any case |  | - HSK Level 3
以前 (yǐqián) - Before, previously |  | - HSK Level 3
以后 (yǐhòu) - After, afterwards |  | - HSK Level 3
为了 (wèile) - For the sake of, in order to |  | - HSK Level 3
起来 (qǐlái) - Beginning or continuing an action (suffix) |  | - HSK Level 3
掉 (diào) - To fall, to drop (verb suffix) |  | - HSK Level 3
比如 (bǐrú) - For example, for instance |  | - HSK Level 3
不得不 (bùdébù) - Have to, can't help but |  | - HSK Level 3
除了...之外 (chúle...zhīwài) - Apart from, besides |  | - HSK Level 3
根据 (gēnjù) - According to, based on |  | - HSK Level 3
之前 (zhīqián) - Before, prior to |  | - HSK Level 3
之后 (zhīhòu) - After, afterwards |  | - HSK Level 3
似乎 (sìhū) - It seems, as if |  | - HSK Level 3
好像 (hǎoxiàng) - To seem like, as if |  | - HSK Level 3
总之 (zǒngzhī) - In short, in a word |  | - HSK Level 3
由 (yóu) - By, via |  | - HSK Level 3
要不然 (yàobùrán) - Otherwise, or else |  | - HSK Level 3
还是 (háishì) - Or (in questions), still |  | - HSK Level 3
除非 (chúfēi) - Unless, only if |  | - HSK Level 3
为此 (wèicǐ) - For this reason, for this purpose |  | - HSK Level 3
不过 (búguò) - However, but |  | - HSK Level 3
即使 (jíshǐ) - Even if, even though |  | - HSK Level 3
到底 (dàodǐ) - At last, finally (used in questions to press for an answer) |  | - HSK Level 3
另外 (lìngwài) - In addition, furthermore |  | - HSK Level 3
一旦 (yīdàn) - Once, in case |  | - HSK Level 3
不如 (bùrú) - Not as good as, inferior to |  | - HSK Level 3
尽管如此 (jǐnguǎn rúcǐ) - Nevertheless, nonetheless |  | - HSK Level 3
为何 (wèihé) - Why, for what reason |  | - HSK Level 3
不止一次 (bù zhǐ yī cì) - More than once |  | - HSK Level 3
正好 (zhènghǎo) - Just in time, just right |  | - HSK Level 3
无论如何 (wúlùn rúhé) - No matter what, anyhow |  | - HSK Level 3
以至 (yǐzhì) - To the extent that |  | - HSK Level 3
突然 (tūrán) - Suddenly, unexpectedly |  | - HSK Level 3
倘若 (tǎngruò) - If, supposing |  | - HSK Level 3
何况 (hékùang) - Let alone, moreover |  | - HSK Level 3
再三 (zàisān) - Over and over again, repeatedly |  | - HSK Level 3
于是 (yúshì) - So, therefore |  | - HSK Level 3
尽量 (jǐnliàng) - As much as possible |  | - HSK Level 3
仍然 (réng rán) - Still, yet |  | - HSK Level 3
其实 (qí shí) - Actually, in fact |  | - HSK Level 3
相反 (xiāng fǎn) - On the contrary, opposite |  | - HSK Level 3
相当 (xiāng dāng) - Quite, rather |  | - HSK Level 3
不然 (bù rán) - Otherwise, or else |  | - HSK Level 3
一直 (yī zhí) - Straight, continuously |  | - HSK Level 3
并且 (bìng qiě) - And, moreover, furthermore |  | - HSK Level 3
原来 (yuán lái) - Originally, as it turns out |  | - HSK Level 3
不料 (bù liào) - Unexpectedly, to one's surprise |  | - HSK Level 3
一般 (yī bān) - Generally, ordinary |  | - HSK Level 3
当然 (dāng rán) - Of course, certainly |  | - HSK Level 3
忽然 (hū rán) - Suddenly, all of a sudden |  | - HSK Level 3
不久 (bù jiǔ) - Soon, before long |  | - HSK Level 3
不仅...而且... (bù jǐn... ér qiě...) - Not only... but also... |  | - HSK Level 3
尽管 (jǐn guǎn) - Although, even though |  | - HSK Level 3
因此 (yīn cǐ) - Therefore, so |  | - HSK Level 3
终于 (zhōng yú) - Finally, at last |  | - HSK Level 3
虽说 (suī shuō) - Although, though |  | - HSK Level 3
例如 (lì rú) - For instance, such as |  | - HSK Level 3
逐渐 (zhú jiàn) - Gradually, little by little |  | - HSK Level 3
