ถึงแม้ว่า (thǔeng mâew wâa) - Even though, although |  | CU-TFL Level 3
ยิ่งขึ้น (yîng khûen) - Increasingly, more and more |  | CU-TFL Level 3
ใคร่จะ (khraî jà) - To want to, would like to |  | CU-TFL Level 3
เสียดาย (sǐa daai) - What a waste, what a pity |  | CU-TFL Level 3
ไม่ว่าจะ (mâi wâa jà) - No matter what, regardless of |  | CU-TFL Level 3
เกือบๆ (gʉ̀ʉb gʉ̀ʉb) - Almost, nearly |  | CU-TFL Level 3
ทั้งนี้ (tháng níi) - For this reason, therefore |  | CU-TFL Level 3
อาจจะ (âat jà) - Might, perhaps, probably |  | CU-TFL Level 3
อันที่จริง (an thîi jing) - In fact, actually |  | CU-TFL Level 3
แค่ (kâe) - Just, only, merely |  | CU-TFL Level 3
ก่อนหน้านี้ (gɔ̀n nâat níi) - Before this, previously |  | CU-TFL Level 3
เป็นการ (pen gaan) - It is a way of, it is an act of |  | CU-TFL Level 3
หรือไม่ (rʉ̌ʉ mâi) - Or not, whether or not |  | CU-TFL Level 3
โดยที่ไม่ต้อง (dooy thîi mâi dtâwng) - Without having to |  | CU-TFL Level 3
จนกระทั่ง (jon grà thàng) - Until, up to the point |  | CU-TFL Level 3
แม้กระทั่ง (mâe grà thàng) - Even, even though |  | CU-TFL Level 3
เฉพาะ (châ-phâw) - Only, solely, specifically |  | CU-TFL Level 3
โดยรวม (dooy ruam) - In general, overall, on the whole |  | CU-TFL Level 3
เรียกว่า (rîak wâa) - Called, named, termed as |  | CU-TFL Level 3
ถึงแม้ว่า (thǔeng mâe wâa) - Even if, even though |  | CU-TFL Level 3
ในที่สุด (nai thîi sùt) - Finally, in the end, ultimately |  | CU-TFL Level 3
ตามแต่ (dtaam tàe) - Depending on, based on |  | CU-TFL Level 3
หลังจากนั้น (lǎng jàak nán) - After that, subsequently |  | CU-TFL Level 3
โดยเฉพาะ (dooy châ-phâw) - Especially, particularly |  | CU-TFL Level 3
ถ้าเป็น... (thâa pen...) - If it is... |  | CU-TFL Level 3
แล้วแต่ (láew tàe) - Depending on, up to |  | CU-TFL Level 3
ทีละ (thii lá) - One at a time, gradually |  | CU-TFL Level 3
ตลอดจน (dtà-lɔ̀ɔt jon) - Throughout until, all the way to |  | CU-TFL Level 3
ไม่ค่อย (mâi khɔ̂i) - Not very, not often |  | CU-TFL Level 3
จนถึง (jon thǔeng) - Until, up to |  | CU-TFL Level 3
เพราะว่า (phráw wâa) - Because, since, due to |  | CU-TFL Level 3
ด้วยว่า (dûai wâa) - Because, since, given that |  | CU-TFL Level 3
เกี่ยวกับ (gìao gàp) - About, regarding, concerning |  | CU-TFL Level 3
เสมือนว่า (sǎ-mʉan wâa) - As if, as though, seemingly |  | CU-TFL Level 3
ทั้งๆ ที่ (tháng tháng thîi) - Even though, despite the fact |  | CU-TFL Level 3
เมื่อก่อน (mʉ̂a gɔ̀n) - In the past, formerly |  | CU-TFL Level 3
ในขณะนี้ (nai khànà níi) - At the moment, currently |  | CU-TFL Level 3
แต่ละ (tàe lá) - Each, every |  | CU-TFL Level 3
ถึงแม้จะ (thǔeng mâe jà) - Even if |  | CU-TFL Level 3
เพื่อที่จะ (phʉ̂ʉ thîi jà) - In order to, so as to |  | CU-TFL Level 3
ก่อนที่จะ (gɔ̀n thîi jà) - Before (doing something) |  | CU-TFL Level 3
ซึ่ง (sʉ̂ng) - Which, that (as a relative pronoun) |  | CU-TFL Level 3
แทนที่จะ (thæn thîi jà) - Instead of |  | CU-TFL Level 3
โดยทั่วไป (dooy thûa paai) - Generally, in general |  | CU-TFL Level 3
อย่างเดียว (yâang diiao) - Only, just, solely |  | CU-TFL Level 3
ด้วยกัน (dûai gun) - Together, with each other |  | CU-TFL Level 3
ดังนั้น (dang nán) - Therefore, thus, so |  | CU-TFL Level 3
ด้วยเหตุนี้ (dûai hèt níi) - For this reason, hence |  | CU-TFL Level 3
เช่น (chèn) - Such as, like, for example |  | CU-TFL Level 3
ทั้ง...และ... (tháng... láe...) - Both... and... |  | CU-TFL Level 3
แม้...ก็... (mâe... gɔ̂...) - Even if... still... |  | CU-TFL Level 3
เป็นอันว่า (pen an wâa) - Because, seeing that |  | CU-TFL Level 3
ตั้งแต่ (dtâng dtàe) - Since, from (a point in time) |  | CU-TFL Level 3
ไม่แค่...แต่ยัง... (mâi kâe... dtàe yang...) - Not only... but also... |  | CU-TFL Level 3
โดยปกติ (dooy bpòk dtìi) - Normally, typically |  | CU-TFL Level 3
ในระหว่าง (nai rà-wàang) - During, in the midst of |  | CU-TFL Level 3
เพื่อว่า (phʉ̂ʉ wâa) - So that, in order that |  | CU-TFL Level 3
นอกจาก...ยัง... (nâawk jàak... yang...) - Besides... also... |  | CU-TFL Level 3
จนทุกที่ (jon thúk thîi) - Everywhere, all over |  | CU-TFL Level 3
ไม่ใช่เพียงแต่ (mâi châi phiang dtàe) - Not only... |  | CU-TFL Level 3
ขณะเดียวกัน (khànà diiao gun) - At the same time, simultaneously |  | CU-TFL Level 3
ไม่ว่า...ก็... (mâi wâa... gɔ̂...) - Regardless of..., whether... or... |  | CU-TFL Level 3
โดยไม่ต้อง (dooy mâi dtâwng) - Without having to |  | CU-TFL Level 3
เปรียบเทียบ (bpriàp thîiap) - To compare, in comparison |  | CU-TFL Level 3
เพียงแค่ (phiang kâe) - Merely, just, only |  | CU-TFL Level 3
แบบนี้ (bàeb níi) - Like this, in this manner |  | CU-TFL Level 3
สำหรับ (sǎm ràp) - For, regarding, pertaining to |  | CU-TFL Level 3
ต่อเมื่อ (tòr mʉ̂a) - Provided that, in case of |  | CU-TFL Level 3
จนกระทั่ง (jon grà thǔng) - Until, up to the point that |  | CU-TFL Level 3
เป็นไปได้ (pen bpai dâai) - Possibly, it is possible |  | CU-TFL Level 3
ทั้งนี้ (tháng níi) - In this regard, in this matter |  | CU-TFL Level 3
เรียกว่า (rîak wâa) - Called, known as |  | CU-TFL Level 3
เท่าที่ (thâo thîi) - As much as, to the extent that |  | CU-TFL Level 3
เสียก่อน (sǐa gɔ̀n) - First, beforehand |  | CU-TFL Level 3
เนื่องจาก (nʉ̂ang jàak) - Due to, because of |  | CU-TFL Level 3
เท่านั้น (thâo nán) - Only that much, that's all |  | CU-TFL Level 3
ทั้งหมด (tháng mòt) - All, totally, entirely |  | CU-TFL Level 3
ทั้งว่า (tháng wâa) - Even though, although |  | CU-TFL Level 3
เฉพาะ (châ-phâw) - Specifically, especially, only |  | CU-TFL Level 3
ตั้งแต่เดิม (dtâng dtàe doem) - From the beginning, originally |  | CU-TFL Level 3
นับจากนั้น (náp jàak nán) - From then on, since then |  | CU-TFL Level 3
