~게다가 [gedaga] (Moreover, besides) |  | TOPIK II Level 6
~든지 [deunji] (Whether or) |  | TOPIK II Level 6
~라는 것이다 [raneun geosida] (It means that) |  | TOPIK II Level 6
~라도 [rado] (At least, even if) |  | TOPIK II Level 6
~러 [reo] (In order to) |  | TOPIK II Level 6
~려고 하다 [ryeogo hada] (Try to) |  | TOPIK II Level 6
~려는 [ryeoneun] (Intending to) |  | TOPIK II Level 6
~로써 [rossyeo] (By means of) |  | TOPIK II Level 6
~를 바탕으로 [reul batageuro] (Based on) |  | TOPIK II Level 6
~를 통해 [reul tonghae] (Through, by means of) |  | TOPIK II Level 6
~만큼 [mankeum] (As much as) |  | TOPIK II Level 6
~마저 [majeo] (Even) |  | TOPIK II Level 6
~못하다 [mothada] (Cannot) |  | TOPIK II Level 6
~바라다 [barada] (Hope to) |  | TOPIK II Level 6
~밖에 [bakke] (Only, nothing but) |  | TOPIK II Level 6
~본 [bon] (Having experienced) |  | TOPIK II Level 6
~부터가 [buteoga] (Starting from) |  | TOPIK II Level 6
~뿐이다 [ppunida] (Only, just) |  | TOPIK II Level 6
~사이에서 [saieseo] (Between) |  | TOPIK II Level 6
~서야 [seoya] (Only after) |  | TOPIK II Level 6
~소서 [soseo] (Polite way to apologize for an action) |  | TOPIK II Level 6
~않게 [anhge] (So as not to) |  | TOPIK II Level 6
~아/어 버리다 [a/eo beorida] (To completely) |  | TOPIK II Level 6
~아/어 놓다 [a/eo notda] (To have done something in advance) |  | TOPIK II Level 6
~아/어 달라다 [a/eo dallada] (To ask for) |  | TOPIK II Level 6
~아/어 대다 [a/eo daeda] (To do aimlessly) |  | TOPIK II Level 6
~아/어 보이다 [a/eo boida] (To seem, appear) |  | TOPIK II Level 6
~아/어 서는 [a/eo seoneun] (Although) |  | TOPIK II Level 6
~아/어야만 [a/eoyaman] (Only if/when) |  | TOPIK II Level 6
~아/어지다 [a/eojida] (To become) |  | TOPIK II Level 6
~았/었 던 [at/eot deon] (Past descriptive) |  | TOPIK II Level 6
~았/었으면 좋겠다 [at/eosseumyeon jokgetda] (Wish something had happened) |  | TOPIK II Level 6
