~(으)나마 [(eu)namah] (At least, even if only) |  | TOPIK II Level 3
~에 [e] (At, on, in, to) |  | TOPIK II Level 3
~에 따라 [e ddara] (According to, depends on) |  | TOPIK II Level 3
~에 따르다 [e ddareuda] (To be attributed to, according to) |  | TOPIK II Level 3
~에 비해 [e bihae] (Compared to) |  | TOPIK II Level 3
~에게 [ege] (To someone, for someone) |  | TOPIK II Level 3
~에서 [eseo] (At, in) |  | TOPIK II Level 3
~에서부터 ~까지 [eseobuteo ~ kkaji] (From ~ to) |  | TOPIK II Level 3
~와/과 [wa/gwa] (And, with) |  | TOPIK II Level 3
~와/과 같다 [wa/gwa gatda] (Be the same as, like) |  | TOPIK II Level 3
~와/과 달리 [wa/gwa dalli] (Unlike, different from) |  | TOPIK II Level 3
~을/를 통해 [eul/reul tonghae] (Through, by means of) |  | TOPIK II Level 3
~이/가 되다 [i/ga dweda] (Become) |  | TOPIK II Level 3
~이/가 아니다 [i/ga anida] (Is not, are not) |  | TOPIK II Level 3
~이라도 [irado] (Even if, at least) |  | TOPIK II Level 3
~이래 [irae] (Since then) |  | TOPIK II Level 3
~이랑 [irang] (And, with) |  | TOPIK II Level 3
~이렇게 [ireohge] (Like this, in this way) |  | TOPIK II Level 3
~이므로 [imyeo] (Therefore, because) |  | TOPIK II Level 3
~이어서 [ieoseo] (And then, and so) |  | TOPIK II Level 3
~이었다 [ieotda] (Was, were) |  | TOPIK II Level 3
~이지만 [ijiman] (But, however) |  | TOPIK II Level 3
~인데 [inde] (But, and, so) |  | TOPIK II Level 3
~인데다 [indeda] (Moreover, besides) |  | TOPIK II Level 3
~인지 [inji] (Whether) |  | TOPIK II Level 3
~일 때 [il ttae] (When, while) |  | TOPIK II Level 3
~자 [ja] (Let's) |  | TOPIK II Level 3
~자마자 [jamaja] (As soon as) |  | TOPIK II Level 3
~장 [jang] (Counting unit for items) |  | TOPIK II Level 3
~저 [jeo] (That kind of) |  | TOPIK II Level 3
~전 [jeon] (Before) |  | TOPIK II Level 3
~적 [jeok] (Time, instance) |  | TOPIK II Level 3
~죠 [jyo] (~Isn't it?) |  | TOPIK II Level 3
~지 않다 [ji anta] (Negative form) |  | TOPIK II Level 3
~지 않아도 되다 [ji anado dweda] (Don't have to) |  | TOPIK II Level 3
지만 [jiman] ( but) |  | TOPIK II Level 3
~지요 [jiyo] (Isn't it? Right?) |  | TOPIK II Level 3
~진 않지만 [jin antjiman] (Not exactly, but) |  | TOPIK II Level 3
~쯤 [jjeum] (About, around) |  | TOPIK II Level 3
~처럼 [cheoreom] (Like, as) |  | TOPIK II Level 3
~층 [cheung] (Floor count) |  | TOPIK II Level 3
~카지 [kaji] (Perhaps, maybe) |  | TOPIK II Level 3
~켤 [kkeol] (Every, each) |  | TOPIK II Level 3
~테니까 [tenikka] (So, therefore) |  | TOPIK II Level 3
~편이다 [pyeonida] (It is preferable) |  | TOPIK II Level 3
~하다가 [hadaga] (Was doing something and then...) |  | TOPIK II Level 3
~하면 [hamyeon] (If, when) |  | TOPIK II Level 3
~하면서 [hamyeonseo] (While doing) |  | TOPIK II Level 3
~하기는 [hakineun] (Though, although) |  | TOPIK II Level 3
~하기로 하다 [hakiro hada] (Decide to) |  | TOPIK II Level 3
~하기보다 [hakiboda] (Rather than) |  | TOPIK II Level 3
~하기에 [hakie] (For, considering) |  | TOPIK II Level 3
~하기만 하면 [hakiman hamyeon] (As long as) |  | TOPIK II Level 3
~하는 것 같다 [haneun geot gatda] (It seems like) |  | TOPIK II Level 3
~하는 데 [haneun de] (In doing) |  | TOPIK II Level 3
~하는 편이다 [haneun pyeonida] (Tend to do) |  | TOPIK II Level 3
~하는 한 [haneun han] (As long as) |  | TOPIK II Level 3
~하는데 [haneunde] (But, and so) |  | TOPIK II Level 3
~하다 보면 [hada bomyeon] (If one keeps doing) |  | TOPIK II Level 3
~하다가는 [hadaganeun] (If continue doing) |  | TOPIK II Level 3
~하여 [hayeo] (~ing, and) |  | TOPIK II Level 3
~하여야 [hayeoya] (Must) |  | TOPIK II Level 3
~하였다 [hayeotda] (Past formal) |  | TOPIK II Level 3
~하자 [haja] (Upon doing, as soon as) |  | TOPIK II Level 3
~할 것이다 [hal geotida] (Will, shall) |  | TOPIK II Level 3
~할 때마다 [hal ttaemada] (Every time when) |  | TOPIK II Level 3
~할 만하다 [hal manhada] (Worth doing) |  | TOPIK II Level 3
~할 수 있다 [hal su itda] (Can do) |  | TOPIK II Level 3
~할 수 없다 [hal su eopda] (Cannot do) |  | TOPIK II Level 3
~할 줄 알다 [hal jul alda] (Know how to) |  | TOPIK II Level 3
~할지라도 [haljirado] (Even if) |  | TOPIK II Level 3
~할지언정 [haljieonjeong] (Whether ... or) |  | TOPIK II Level 3
~할 텐데 [hal tende] (Probably will) |  | TOPIK II Level 3
~함께 [hamkke] (Together with) |  | TOPIK II Level 3
~해 보다 [hae boda] (Try to do) |  | TOPIK II Level 3
~해 주다 [hae juda] (Do for someone) |  | TOPIK II Level 3
~해야겠다 [haeyagetda] (Should do) |  | TOPIK II Level 3
~해서는 안 되다 [haeseoneun an dweda] (Must not do) |  | TOPIK II Level 3
~해야 하다 [haeya hada] (Have to do) |  | TOPIK II Level 3
~했더니 [haetdeoni] (After doing) |  | TOPIK II Level 3
~했었다 [haesseotda] (Had done) |  | TOPIK II Level 3
~했으면 좋겠다 [haesseumyeon jotgetda] (I wish, I hope) |  | TOPIK II Level 3
~했을 때 [haesseul ttae] (When someone did) |  | TOPIK II Level 3
~했을 텐데 [haesseul tende] (Would have) |  | TOPIK II Level 3
~했지만 [haetjiman] (Did, but) |  | TOPIK II Level 3
~했다 [haetda] (Did, past tense) |  | TOPIK II Level 3
