แม้กระทั่ง (máe grà thùng) - Even, to the extent that |  | CU-TFL Level 5
ต่างหาก (dtàang hàak) - On the contrary, rather |  | CU-TFL Level 5
อย่างไรก็ตาม (yâang rai gɔ̂ dtaam) - However, nevertheless |  | CU-TFL Level 5
เสมือนกับ (sà-mʉan gàp) - Similar to, like |  | CU-TFL Level 5
เป็นต้นไป (pen dtôn pai) - And so on, and the like |  | CU-TFL Level 5
ไม่เพียงแต่...แต่ยัง (mâi phiang dtàe...dtàe yang) - Not only... but also |  | CU-TFL Level 5
กับว่า (gàp wâa) - That, indicating reported speech |  | CU-TFL Level 5
อาจจะ (àat jà) - Might, perhaps, possibly |  | CU-TFL Level 5
ดังเก่า (dang gèo) - As before, as usual |  | CU-TFL Level 5
เนื่องจาก (nʉ̂ang jàak) - Due to, because of |  | CU-TFL Level 5
ขณะที่ (khànà thîi) - While, whereas |  | CU-TFL Level 5
ตามที่ (dtaam thîi) - As, according to |  | CU-TFL Level 5
โดยเฉพาะ (dooy chêephaaw) - Especially, particularly |  | CU-TFL Level 5
ก็แค่ (gɔ̂ khâe) - Just, only |  | CU-TFL Level 5
ทั้งนี้ (tháng níi) - In this regard, in this case |  | CU-TFL Level 5
อย่างน้อย (yâang nói) - At least |  | CU-TFL Level 5
ในที่สุด (nai thîi sùt) - Finally, in the end |  | CU-TFL Level 5
ถ้าหาก (thâa hàak) - If, in case |  | CU-TFL Level 5
เช่นเคย (chên kʉəy) - As usual, as always |  | CU-TFL Level 5
ซึ่งได้แก่ (sʉ̂ng dâi gè) - Which are, namely |  | CU-TFL Level 5
โดยทั่วไป (dooy thûa pai) - Generally, in general |  | CU-TFL Level 5
เสียก่อน (sĭa gɔ̀ɔn) - First, beforehand |  | CU-TFL Level 5
เสมือนว่า (sà-mʉan wâa) - As if, as though |  | CU-TFL Level 5
ทั้งที่ (tháng thîi) - Even though, while |  | CU-TFL Level 5
เพราะเป็น (phró pen) - Because it's |  | CU-TFL Level 5
โดยไม่ต้อง (dooy mâi dtâwng) - Without having to |  | CU-TFL Level 5
ให้ความสำคัญ (hâi khwaam săm-khan) - To prioritize, give importance to |  | CU-TFL Level 5
สำหรับ (săm ràp) - For, regarding |  | CU-TFL Level 5
ถึงแม้ (thʉ̌ng máe) - Even if, although |  | CU-TFL Level 5
แม้กระทั่ง (máe grà thûng) - Even, to the extent that |  | CU-TFL Level 5
ต่อมา (dtòr maa) - Afterwards, subsequently |  | CU-TFL Level 5
ในแง่ (nai ngê) - In terms of, from the perspective of |  | CU-TFL Level 5
ด้วยการที่ (dûay gaan thîi) - By, by means of |  | CU-TFL Level 5
อย่างไรก็ตาม (yâang rai gɔ̂ dtaam) - However, nonetheless |  | CU-TFL Level 5
โดยไม่เว้นแต่ (dooy mâi wêen dtàe) - Without exception |  | CU-TFL Level 5
แทนที่จะ (thae thîi jà) - Instead of |  | CU-TFL Level 5
สืบเนื่องมาจาก (sʉ̀ʉp nʉ̂ang maa jàak) - Stemming from, due to |  | CU-TFL Level 5
อันเป็น (an pen) - Which is, namely |  | CU-TFL Level 5
ในระยะเวลาที่ (nai rá-yàa welaa thîi) - During the time that |  | CU-TFL Level 5
หากแม้ (hàak máe) - Even if, should |  | CU-TFL Level 5
นอกจากนี้ (nâawk jàak níi) - Besides this, in addition to |  | CU-TFL Level 5
ซึ่งก็คือ (sʉ̂ng gɔ̂ kʉə) - Which is to say, i.e. |  | CU-TFL Level 5
ตลอดจน (dta-làwd jon) - Throughout, from start to finish |  | CU-TFL Level 5
เปรียบเทียบกับ (bprìap thîap gàp) - Compared to, in comparison with |  | CU-TFL Level 5
ในขณะเดียวกัน (nai khànà dîao gan) - At the same time, simultaneously |  | CU-TFL Level 5
ตามความเป็นจริง (dtaam khwaam pen jing) - In reality, actually |  | CU-TFL Level 5
ซึ่งทำให้ (sʉ̂ng tham hâi) - Which causes, resulting in |  | CU-TFL Level 5
อย่างที่ (yâang thîi) - As, like, in the manner that |  | CU-TFL Level 5
ต่อให้ (dtòr hâi) - Even if, though, albeit |  | CU-TFL Level 5
โดยปกติ (dooy bpòk dtîi) - Normally, typically |  | CU-TFL Level 5
ตามที่กำหนด (dtaam thîi gam-nòt) - As specified, according to the stipulation |  | CU-TFL Level 5
แล้วแต่ (láew dtàe) - Depending on, however, whatever |  | CU-TFL Level 5
ซึ่งสำคัญ (sʉ̂ng săm-khạn) - Importantly, which is important |  | CU-TFL Level 5
พร้อมกับ (prôom gàp) - Along with, simultaneous with |  | CU-TFL Level 5
โดยเฉพาะ (dooy châe-phâw) - Especially, particularly |  | CU-TFL Level 5
เสมือนว่า (sà-mʉan wâa) - As if, as though |  | CU-TFL Level 5
แต่เพียง (dtàe piang) - Only, merely |  | CU-TFL Level 5
ด้วยเหตุนี้ (dûay hèt níi) - Therefore, for this reason |  | CU-TFL Level 5
เพื่อที่จะ (phʉ̂a thîi jà) - In order to, for the purpose of |  | CU-TFL Level 5
โดยทั่วไป (dooy thûa bpai) - Generally, on the whole |  | CU-TFL Level 5
ไม่ว่าจะ (mâi wâa jà) - Regardless of whether, no matter if |  | CU-TFL Level 5
ต่อไป (dtòr bpai) - Next, from now on |  | CU-TFL Level 5
เช่นเคย (chên kʉi) - As usual, like always |  | CU-TFL Level 5
ตราบใด (dtraap dâi) - As long as, while |  | CU-TFL Level 5
ถึงแม้ว่า (thʉ̌ng máe wâa) - Although, even though |  | CU-TFL Level 5
ในทางปฏิบัติ (nai thaang bpà-dtì-bàt) - In practice, practically |  | CU-TFL Level 5
ร่วมกัน (rûam gun) - Together, jointly |  | CU-TFL Level 5
ตามที่แล้ว (dtaam thîi láew) - According to the previous, as before |  | CU-TFL Level 5
เท่าที่ (thâo thîi) - As far as, to the extent that |  | CU-TFL Level 5
เมื่อไรก็ตาม (mʉ̂a rai gôr dtàam) - Whenever, regardless of when |  | CU-TFL Level 5
ไม่ใช่แค่ (mâi châi khâe) - Not just, not only |  | CU-TFL Level 5
โดยไม่ต้อง (dooy mâi dtâwng) - Without needing to |  | CU-TFL Level 5
นอกจากนี้ (nâawk jàak níi) - In addition to this, besides this |  | CU-TFL Level 5
ซึ่งเมื่อเทียบกับ (sʉ̂ng mʉ̂a thîiap gàp) - When compared to |  | CU-TFL Level 5
สมมุติว่า (sà-mà-mùt wâa) - Assuming that, suppose that |  | CU-TFL Level 5
เป็นการ (pen gaan) - As a way to, as an act of |  | CU-TFL Level 5
พร้อมที่จะ (prôom thîi jà) - Ready to, prepared to |  | CU-TFL Level 5
ด้วยกันเอง (dûay gun aeng) - By themselves, on their own |  | CU-TFL Level 5
เกินไป (goen bpai) - Too much, excessively |  | CU-TFL Level 5
เท่าเทียมกับ (thâo thîiam gàp) - Equivalent to, the same as |  | CU-TFL Level 5
ต่อมา (dtòr maa) - Afterwards, subsequently |  | CU-TFL Level 5
ในที่สุด (nai thîi sùt) - Finally, in the end |  | CU-TFL Level 5
ตรงกันข้าม (dtrong gun khâam) - On the contrary, opposite |  | CU-TFL Level 5
ถือว่า (thʉ̂e wâa) - Considered as, regarded as |  | CU-TFL Level 5
ใหญ่โต (hâi dto) - Large, big (emphasizing size) |  | CU-TFL Level 5
เพียงแค่ (phiang khâe) - Just, only, merely |  | CU-TFL Level 5
ตลอดจน (dta-lòt jon) - Throughout, until |  | CU-TFL Level 5
ใดๆ (dâi dâi) - Any, whichever, whatever |  | CU-TFL Level 5
ซึ่งไร้ (sʉ̂ng rái) - Which lacks, devoid of |  | CU-TFL Level 5
นั้น (nán) - That (as a demonstrative) |  | CU-TFL Level 5
หรือ (rʉ̌ʉ) - Or (in questions) |  | CU-TFL Level 5
แต่เพียง (dtàe phiang) - Only, just, merely |  | CU-TFL Level 5
แต่ทว่า (dtàe thwâa) - However, but, yet |  | CU-TFL Level 5
ไม่ว่าจะ...ก็ (mâi wâa jà...gôr) - No matter how/what/when... |  | CU-TFL Level 5
ใครๆ ก็ (khrái khrái gôr) - Everyone, anybody |  | CU-TFL Level 5
เป็นอันมาก (pen an mâak) - A lot, in large amounts |  | CU-TFL Level 5
โดยเฉพาะ (dooy chêe-phâw) - Especially, particularly |  | CU-TFL Level 5
ถึงแม้ว่า (thʉ̌ng mâe wâa) - Even if, although |  | CU-TFL Level 5
ตามที่ (dtaam thîi) - According to, as per |  | CU-TFL Level 5
ไม่กี่ (mâi gìi) - Not many, a few |  | CU-TFL Level 5
จนถึง (jon thʉ̌ng) - Until, up to |  | CU-TFL Level 5
ซึ่งก็คือ (sʉ̂ng gôr kʉ̂ʉ) - Which is, that is to say |  | CU-TFL Level 5
เนื่องจาก (nʉ̂ang jàak) - Due to, because of |  | CU-TFL Level 5
ก่อนหน้านี้ (gòn nâat níi) - Previously, before this |  | CU-TFL Level 5
เรียกว่า (riâak wâa) - Called, known as |  | CU-TFL Level 5
ทั้งนี้ (tháng níi) - In this case, for this reason |  | CU-TFL Level 5
อย่างไรก็ตาม (yàang rai gôr dtàam) - However, nonetheless |  | CU-TFL Level 5
ถ้าว่า (thâa wâa) - If, in case |  | CU-TFL Level 5
เป็นเพราะ (pen prâw) - Because, due to the fact |  | CU-TFL Level 5
