假如 (jiǎrú) - If, supposing |  | - HSK Level 6
尽可能 (jǐn kěnéng) - As much as possible |  | - HSK Level 6
并非 (bìngfēi) - Not at all, is not |  | - HSK Level 6
无论...都... (wúlùn... dōu...) - No matter... always... |  | - HSK Level 6
不然 (bùrán) - Otherwise, or else |  | - HSK Level 6
趁 (chèn) - While, take advantage of |  | - HSK Level 6
无非 (wúfēi) - Nothing but, only |  | - HSK Level 6
只要...就... (zhǐyào... jiù...) - As long as... then... |  | - HSK Level 6
除非 (chúfēi) - Only if, unless |  | - HSK Level 6
无论如何 (wúlùn rúhé) - No matter what, anyhow |  | - HSK Level 6
只怕 (zhǐpà) - I'm afraid that, perhaps |  | - HSK Level 6
尽管如此 (jǐnguǎn rúcǐ) - Even so, nonetheless |  | - HSK Level 6
难怪 (nánguài) - No wonder, so that's why |  | - HSK Level 6
尽早 (jǐnzǎo) - As early as possible |  | - HSK Level 6
一旦 (yīdàn) - Once, in case (something happens) |  | - HSK Level 6
虽说 (suī shuō) - Although, though |  | - HSK Level 6
不得不 (bùdébù) - Have to, can't avoid |  | - HSK Level 6
难道 (nándào) - Could it be that, isn't it the case? |  | - HSK Level 6
一直 (yīzhí) - All along, continuously |  | - HSK Level 6
终于 (zhōngyú) - Finally, at last |  | - HSK Level 6
早已 (zǎoyǐ) - Long ago, for a long time |  | - HSK Level 6
何况 (hékuàng) - Let alone, not to mention |  | - HSK Level 6
哪怕 (nǎpà) - Even if, even though |  | - HSK Level 6
更不用说 (gèng bùyòng shuō) - Not to mention, let alone |  | - HSK Level 6
为难 (wéinán) - To make things difficult for, to feel embarrassed |  | - HSK Level 6
相反 (xiāngfǎn) - On the contrary, instead |  | - HSK Level 6
此外 (cǐwài) - Besides, in addition |  | - HSK Level 6
要么...要么... (yàome... yàome...) - Either... or... |  | - HSK Level 6
与其...不如... (yǔqí... bùrú...) - Rather than... it's better to... |  | - HSK Level 6
根据 (gēnjù) - According to, based on |  | - HSK Level 6
尽力 (jǐnlì) - To do one's best, to strive as much as possible |  | - HSK Level 6
除...之外 (chú... zhīwài) - Apart from, besides |  | - HSK Level 6
始终 (shǐzhōng) - From beginning to end, all along |  | - HSK Level 6
正如 (zhèngrú) - Just as, as |  | - HSK Level 6
正巧 (zhèngqiǎo) - Coincidentally, just in time |  | - HSK Level 6
若是 (ruòshì) - If, in case |  | - HSK Level 6
与其说...不如说... (yǔqí shuō... bùrú shuō...) - Rather than saying... it's better to say... |  | - HSK Level 6
凭 (píng) - Rely on, according to |  | - HSK Level 6
连...都/也... (lián... dōu/yě...) - Even... |  | - HSK Level 6
何必 (hébì) - Why should, why must |  | - HSK Level 6
除非...否则... (chúfēi... fǒuzé...) - Unless... otherwise... |  | - HSK Level 6
只要...就... (zhǐyào... jiù...) - As long as... then... |  | - HSK Level 6
尽管...但是... (jǐnguǎn... dànshì...) - Although... but... |  | - HSK Level 6
不得不 (bùdébù) - Have to, can't help but |  | - HSK Level 6
既然 (jìrán) - Since, given that |  | - HSK Level 6
无论...都... (wúlùn... dōu...) - No matter... all... |  | - HSK Level 6
无非 (wúfēi) - Nothing but, merely |  | - HSK Level 6
难道 (nándào) - Could it be that, is it possible |  | - HSK Level 6
假如 (jiǎrú) - If, supposing |  | - HSK Level 6
即使...也... (jíshǐ... yě...) - Even if... still... |  | - HSK Level 6
唯有 (wéiyǒu) - Only have, only |  | - HSK Level 6
不如 (bùrú) - Not as good as, inferior to |  | - HSK Level 6
逐渐 (zhújiàn) - Gradually |  | - HSK Level 6
反而 (fǎn'ér) - On the contrary, instead |  | - HSK Level 6
避免 (bìmiǎn) - To avoid, to prevent |  | - HSK Level 6
尽管如此 (jǐnguǎn rúcǐ) - Even so, nevertheless |  | - HSK Level 6
为了 (wèile) - In order to, for the sake of |  | - HSK Level 6
反之 (fǎnzhī) - On the other hand, conversely |  | - HSK Level 6
例如 (lìrú) - For example |  | - HSK Level 6
尤其 (yóuqí) - Especially, particularly |  | - HSK Level 6
由于 (yóuyú) - Due to, because of |  | - HSK Level 6
不管...都... (bùguǎn... dōu...) - No matter... always... |  | - HSK Level 6
非...不可 (fēi... bùkě) - Must, have to |  | - HSK Level 6
与其...不如... (yǔqí... bùrú...) - Rather than... it's better to... |  | - HSK Level 6
不是...而是... (bùshì... érshì...) - It's not... but... |  | - HSK Level 6
除非...否则... (chúfēi... fǒuzé...) - Unless... otherwise... |  | - HSK Level 6
以至于 (yǐzhìyú) - So that, to the extent that |  | - HSK Level 6
一旦...就... (yīdàn... jiù...) - Once... then... |  | - HSK Level 6
鉴于 (jiànyú) - In view of, considering |  | - HSK Level 6
就算...也... (jiùsuàn... yě...) - Even if... still... |  | - HSK Level 6
要么...要么... (yàome... yàome...) - Either... or... |  | - HSK Level 6
不禁 (bùjīn) - Can't help but, can't refrain from |  | - HSK Level 6
虽然...但是... (suīrán... dànshì...) - Although... but... |  | - HSK Level 6
不论...都... (bùlùn... dōu...) - Regardless of... all... |  | - HSK Level 6
为何 (wèihé) - Why, how come |  | - HSK Level 6
根据 (gēnjù) - According to, based on |  | - HSK Level 6
以便 (yǐbiàn) - In order to, so that |  | - HSK Level 6
因而 (yīn'ér) - Therefore, as a result |  | - HSK Level 6
若是 (ruòshì) - If, in case |  | - HSK Level 6
尽量 (jǐnliàng) - As much as possible |  | - HSK Level 6
要不然 (yào bùrán) - Otherwise, or else |  | - HSK Level 6
替代 (tìdài) - Replace; On behalf of. |  | - HSK Level 6
尤其是 (yóuqíshì) - Especially, particularly. |  | - HSK Level 6
由此可见 (yóu cǐ kě jiàn) - From this, it can be seen... |  | - HSK Level 6
更不用说 (gèng bùyòng shuō) - Not to mention, let alone. |  | - HSK Level 6
何况 (hékuàng) - Let alone, much less. |  | - HSK Level 6
倒不如 (dào bù rú) - Might as well... |  | - HSK Level 6
不妨 (bùfáng) - Might as well... |  | - HSK Level 6
既然...就... (jìrán... jiù...) - Since... then... |  | - HSK Level 6
在...方面 (zài... fāngmiàn) - In terms of... |  | - HSK Level 6
不如 (bùrú) - Not as good as, inferior to. |  | - HSK Level 6
日益 (rìyì) - Increasingly, more and more. |  | - HSK Level 6
怎么办 (zěnme bàn) - What to do? (commonly used in everyday speech) |  | - HSK Level 6
无论如何 (wúlùn rúhé) - Anyway, anyhow, no matter what. |  | - HSK Level 6
只要...就... (zhǐyào... jiù...) - As long as... then... |  | - HSK Level 6
任何 (rènhé) - Any, whichever. |  | - HSK Level 6
无非 (wúfēi) - Nothing but, nothing more than. |  | - HSK Level 6
即便 (jíbiàn) - Even if, even though. |  | - HSK Level 6
按照 (ànzhào) - According to. |  | - HSK Level 6
一...就... (yī... jiù...) - As soon as... |  | - HSK Level 6
除...之外 (chú... zhīwài) - Apart from, besides. |  | - HSK Level 6
