이/가 | (Subject markers) | [i/ga] |  | TOPIK I Level 1
지금 | (Now) | [jigeum] |  | TOPIK I Level 1
이미 | (Already) | [imi] |  | TOPIK I Level 1
아직 | (Yet, still) | [ajik] |  | TOPIK I Level 1
때 | (When, time) | [ttae] |  | TOPIK I Level 1
(으)려고 하다 | (Intend to do) | [(eu)ryeogo hada] |  | TOPIK I Level 1
처럼 | (Like, as) | [cheoreom] |  | TOPIK I Level 1
같이 | (Together) | [gachi] |  | TOPIK I Level 1
(이)랑 | (With) | [(i)rang] |  | TOPIK I Level 1
그런데 | (However, but) | [geureonde] |  | TOPIK I Level 1
그래서 | (So, therefore) | [geuraeseo] |  | TOPIK I Level 1
그리고 | (And then) | [geurigo] |  | TOPIK I Level 1
아/어/여 주다 | (To do for someone) | [a/eo/yeo juda] |  | TOPIK I Level 1
아/어/여 하다 | (Do something) | [a/eo/yeo hada] |  | TOPIK I Level 1
의 | (Possessive marker) | [ui] |  | TOPIK I Level 1
(으)로 | (To, toward; as a tool/method) | [(eu)ro] |  | TOPIK I Level 1
한테/에게 | (To someone) | [hante/ege] |  | TOPIK I Level 1
한테서/에서 | (From someone) | [hanteseo/eseo] |  | TOPIK I Level 1
보다 | (More than) | [boda] |  | TOPIK I Level 1
가장 | (The most) | [gajang] |  | TOPIK I Level 1
도 | (Even) | [do] |  | TOPIK I Level 1
이/그/저 | (This, that, that over there) | [i/geu/jeo] |  | TOPIK I Level 1
(이)나 | (Or) | [(i)na] |  | TOPIK I Level 1
밖에 | (Only, except) | [bakke] |  | TOPIK I Level 1
뿐 | (Only) | [ppun] |  | TOPIK I Level 1
는/은 것 | (The thing that, nominalizing) | [neun/eun geot] |  | TOPIK I Level 1
(으)ㄴ/는 것 같다 | (It seems like) | [(eu)n/neun geot gatda] |  | TOPIK I Level 1
(으)러 가다/오다 | (Go/come to do something) | [(eu)reo gada/oda] |  | TOPIK I Level 1
아/어/여도 | (Even if) | [a/eo/yeodo] |  | TOPIK I Level 1
계속 | (Continue to) | [gyesok] |  | TOPIK I Level 1
항상 | (Always) | [hangsang] |  | TOPIK I Level 1
(으)ㄹ 때 | (When) | [(eu)l ttae] |  | TOPIK I Level 1
아/어/여야 되다 | (Must, have to) | [a/eo/yeoya doeda] |  | TOPIK I Level 1
(으)면서 | (While, and) | [(eu)myeonseo] |  | TOPIK I Level 1
다가 | (And then, but) | [daga] |  | TOPIK I Level 1
아/어/여 보이다 | (Looks, seems) | [a/eo/yeo boida] |  | TOPIK I Level 1
아/어/여 버리다 | (Completely, regretfully) | [a/eo/yeo beorida] |  | TOPIK I Level 1
아/어/여 놓다 | (Leave something as is) | [a/eo/yeo nohda] |  | TOPIK I Level 1
아/어/여 지다 | (Become) | [a/eo/yeo jida] |  | TOPIK I Level 1
아/어/여 가지다 | (Have, possess) | [a/eo/yeo gajida] |  | TOPIK I Level 1
(으)ㄴ/는 편이다 | (Tend to) | [(eu)n/neun pyeonida] |  | TOPIK I Level 1
는/은 데 | (Situation or condition) | [neun/eun de] |  | TOPIK I Level 1
아/어/여야겠다 | (Should, must) | [a/eo/yeoya getda] |  | TOPIK I Level 1
아/어/여서는 안 되다 | (Must not, shouldn't) | [a/eo/yeoseoneun an doeda] |  | TOPIK I Level 1
아/어/여 주세요 | (Please give/do for me) | [a/eo/yeo juseyo] |  | TOPIK I Level 1
아/어/여 드리다 | (To give – honorific) | [a/eo/yeo deurida] |  | TOPIK I Level 1
다니다 | (To attend, go regularly) | [danida] |  | TOPIK I Level 1
아/어/여 가다 | (Be going to do) | [a/eo/yeo gada] |  | TOPIK I Level 1
아/어/여 오다 | (Come to do) | [a/eo/yeo oda] |  | TOPIK I Level 1
아/어/여 있다 | (To be doing) | [a/eo/yeo itda] |  | TOPIK I Level 1
아/어/여 보다 | (Try to do) | [a/eo/yeo boda] |  | TOPIK I Level 1
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
~게 되다 | (End up doing) | [ge doeda] |  | TOPIK I Level 2
~게 하다 | (Make/let someone do) | [ge hada] |  | TOPIK I Level 2
~고 싶다 | (Want to do) | [go sipda] |  | TOPIK I Level 2
~기 전에 | (Before doing) | [gi jeone] |  | TOPIK I Level 2
~기 때문에 | (Because of doing) | [gi ttaemune] |  | TOPIK I Level 2
~기로 하다 | (Decide to do) | [giro hada] |  | TOPIK I Level 2
~기 시작하다 | (Start to do) | [gi sijakhada] |  | TOPIK I Level 2
~기는 하다 | (Do something as a habit) | [gineun hada] |  | TOPIK I Level 2
~는 대로 | (As it is) | [neun daero] |  | TOPIK I Level 2
~는 바람에 | (Because of) | [neun barame] |  | TOPIK I Level 2
~는 데 | (But) | [neun de] |  | TOPIK I Level 2
~는지 모르다 | (Don't know if) | [neunji moreuda] |  | TOPIK I Level 2
~는지 알다 | (Know if) | [neunji alda] |  | TOPIK I Level 2
~마다 | (Every) | [mada] |  | TOPIK I Level 2
~부터 ~까지 | (From ~ to ~) | [buteo ~ kkaji] |  | TOPIK I Level 2
~아/어/여 보이다 | (Seems, looks like) | [a/eo/yeo boida] |  | TOPIK I Level 2
~아/어/여 주다 | (Do for someone) | [a/eo/yeo juda] |  | TOPIK I Level 2
~아/어/여야만 하다 | (Have to do) | [a/eo/yeoyaman hada] |  | TOPIK I Level 2
~아/어/여도 되다 | (Is it okay to) | [a/eo/yeodo doeda] |  | TOPIK I Level 2
~아/어/여서는 안 되다 | (Must not) | [a/eo/yeoseoneun an doeda] |  | TOPIK I Level 2
~아/어서 | (Because, so) | [a/eoseo] |  | TOPIK I Level 2
~았/었으면 좋겠다 | (I wish/hope) | [at/eosseumyeon joketda] |  | TOPIK I Level 2
~어/아야 하다 | (Have to, should) | [eo/ayahada] |  | TOPIK I Level 2
~어/아도 | (Even if) | [eo/ado] |  | TOPIK I Level 2
~어/아 버리다 | (Regretfully, completely) | [eo/a beorida] |  | TOPIK I Level 2
~으면/면 | (If, when) | [eumyeon/myeon] |  | TOPIK I Level 2
~을/를 빼다 | (Except for) | [eul/reul ppaeda] |  | TOPIK I Level 2
~을/를 수 있다 | (Can, possible) | [eul/reul su itda] |  | TOPIK I Level 2
~을/를 통해 | (Through, via) | [eul/reul tonghae] |  | TOPIK I Level 2
~을까 | (Shall we?) | [eulkka] |  | TOPIK I Level 2
~을래 | (Want to) | [eullae] |  | TOPIK I Level 2
~을지라도 | (Even if) | [euljirado] |  | TOPIK I Level 2
~을지언정 | (Whether... or...) | [euljieonjeong] |  | TOPIK I Level 2
~이 되다 | (Become) | [i doeda] |  | TOPIK I Level 2
~이나 ~ | (Either, or) | [ina] |  | TOPIK I Level 2
~이라도 | (At least) | [irado] |  | TOPIK I Level 2
~이랑 | (And, with) | [irang] |  | TOPIK I Level 2
~이래 | (Since) | [irae] |  | TOPIK I Level 2
~이므로 | (Because, so) | [imyeo] |  | TOPIK I Level 2
~이어서 | (And then, so) | [ieoseo] |  | TOPIK I Level 2
~이지만 | (But, however) | [ijiman] |  | TOPIK I Level 2
~인/는데 | (But, so) | [in/neunde] |  | TOPIK I Level 2
~자 | (Let’s) | [ja] |  | TOPIK I Level 2
~자마자 | (As soon as) | [jamaja] |  | TOPIK I Level 2
~처럼 | (Like, as) | [cheoreom] |  | TOPIK I Level 2
~쯤 | (Around, about) | [jjeum] |  | TOPIK I Level 2
~지 않다 | (Not) | [ji anta] |  | TOPIK I Level 2
~지만 | (But) | [jiman] |  | TOPIK I Level 2
~지요/~죠 | (Isn’t it?, right?) | [jiyo/jyo] |  | TOPIK I Level 2
~채 | (로) | [(Still, yet)] | chae | (ro)
~하고 | (And, with) | [hago] |  | TOPIK I Level 2
~하기로 | (Decide to) | [hagiro] |  | TOPIK I Level 2
~하기는 | (But) | [hagineun] |  | TOPIK I Level 2
~하기보다 | (Rather than) | [hagiboda] |  | TOPIK I Level 2
~하나 | (Questioning oneself) | [hana] |  | TOPIK I Level 2
~하다가 | (Doing and then) | [hadaga] |  | TOPIK I Level 2
~하다가 말다 | (Stop doing something) | [hadaga malda] |  | TOPIK I Level 2
~하더라 | (I observed, I remember) | [hadeora] |  | TOPIK I Level 2
~하려고 | (In order to) | [haryeogo] |  | TOPIK I Level 2
~하여/해서 | (So, therefore) | [hayeo/haeseo] |  | TOPIK I Level 2
~한테/한테서 | (To/From someone) | [hante/hanteseo] |  | TOPIK I Level 2
~할 거예요 | (Going to do) | [hal geoyeyo] |  | TOPIK I Level 2
~할 만하다 | (Worth doing) | [hal manhada] |  | TOPIK I Level 2
~할 수록 | (The more...) | [hal surok] |  | TOPIK I Level 2
~할 줄 알다 | (Know how to) | [hal jul alda] |  | TOPIK I Level 2
~할지라도 | (Even if) | [haljirado] |  | TOPIK I Level 2
~할 텐데 | (I thought/would have thought that..) | [hal tende] |  | TOPIK I Level 2
~해야지 | (Decide to) | [haeyaji] |  | TOPIK I Level 2
~해도/해봐도 | (Even if) | [haedo/haebwado] |  | TOPIK I Level 2
~해보다 | (Try to) | [haeboda] |  | TOPIK I Level 2
~해주다 | (Do for someone) | [haejuda] |  | TOPIK I Level 2
~했더니 | (When, and then) | [haetdeoni] |  | TOPIK I Level 2
~했었다 | (Had done) | [haesseotda] |  | TOPIK I Level 2
~했으면 | (If it were) | [haesseumyeon] |  | TOPIK I Level 2
~했을 때 | (When someone did) | [haesseul ttae] |  | TOPIK I Level 2
~했을 텐데 | (I think I did) | [haesseul tende] |  | TOPIK I Level 2
~했지만 | (But, however) | [haetjiman] |  | TOPIK I Level 2
~혀/어/여 | (Because, so) | [hyeo/eo/yeo] |  | TOPIK I Level 2
~혀/어/여야 | (Have to) | [hyeo/eo/yeoya] |  | TOPIK I Level 2
~후에 | (After) | [hue] |  | TOPIK I Level 2
~(으)나 | (But, however) | [(eu)na] |  | TOPIK I Level 2
~(으)ㄹ까요? | (Shall we?) | [(eu)lkka yo?] |  | TOPIK I Level 2
~(으)ㄹ래요 | (I will) | [(eu)llae yo] |  | TOPIK I Level 2
~(으)면서 | (While) | [(eu)myeonseo] |  | TOPIK I Level 2
~(으)로 | (Towards, by means of) | [(eu)ro] |  | TOPIK I Level 2
~(으)로서 | (As) | [(eu)roseo] |  | TOPIK I Level 2
~(으)로써 | (By, as) | [(eu)rosseo] |  | TOPIK I Level 2
~(으)려고 하다 | (To try to) | [(eu)ryeogo hada] |  | TOPIK I Level 2
~(으)리라 | (Probably) | [(eu)rira] |  | TOPIK I Level 2
~(으)실 거예요 | (You will probably) | [(eu)sil geoyeyo] |  | TOPIK I Level 2
~(으)면 좋겠다 | (It would be good if) | [(eu)myeon jokgetda] |  | TOPIK I Level 2
~(으)면서도 | (While, although) | [(eu)myeonseodo] |  | TOPIK I Level 2
~(으)니까 | (Because, since) | [(eu)nikka] |  | TOPIK I Level 2
~(으)다 보니 | (Seeing that, as) | [(eu)da boni] |  | TOPIK I Level 2
~(으)다가 | (And then, but) | [(eu)daga] |  | TOPIK I Level 2
~(으)던 | (Who used to) | [(eu)deon] |  | TOPIK I Level 2
~(으)려면 | (In order to) | [(eu)ryeomyeon] |  | TOPIK I Level 2
~(으)ㄹ 수록 | (The more) | [(eu)l surok] |  | TOPIK I Level 2
~(으)ㄴ/는 중 | (In the middle of) | [(eu)n/neun jung] |  | TOPIK I Level 2
~(으)ㄴ/는 탓에 | (Because of) | [(eu)n/neun tase] |  | TOPIK I Level 2
~(으)ㄴ/는데다가 | (Moreover, additionally) | [(eu)n/neundedaga] |  | TOPIK I Level 2
~(으)ㄴ/는데도 불구하고 | (Despite, in spite of) | [(eu)n/neundedo bulguhago] |  | TOPIK I Level 2
~(으)ㄴ/는 바람에 | (Because of, due to) | [(eu)n/neun baram] | e | 
~(으)ㄴ/는지 모르겠다 | (I'm not sure if) | [(eu)n/neunji moreugessda] |  | TOPIK I Level 2
~(으)려는 참이다 | (I really want to) | [(eu)ryeoneun chamida] |  | TOPIK I Level 2
~(으)ㄹ 것 같다 | (It seems like) | [(eu)l geot gatda] |  | TOPIK I Level 2
~(으)ㄹ 것이다 | (Will likely) | [(eu)l geosida] |  | TOPIK I Level 2
~(으)ㄹ 뿐만 아니라 | (Not only, but also) | [(eu)l ppunman anira] |  | TOPIK I Level 2
~(으)ㄹ 뿐이다 | (Only, just) | [(eu)l ppunida] |  | TOPIK I Level 2
~(으)ㄹ게요 | (I will, in the future) | [(eu)lgeyo] |  | TOPIK I Level 2
~(으)ㄹ게 | (I will, in the future) | [(eu)lge] |  | TOPIK I Level 2
~(으)ㄹ래 | (I want to) | [(eu)llae] |  | TOPIK I Level 2
~(으)ㄹ라고 | (Intend to) | [(eu)llago] |  | TOPIK I Level 2
~(으)ㄹ 테니까 | (Since I assume) | [(eu)l tenikka] |  | TOPIK I Level 2
~(으)ㄹ지라도 | (Even if) | [(eu)ljirado] |  | TOPIK I Level 2
~(으)면서도 | (While, although) | [(eu)myeonseodo] |  | TOPIK I Level 2
~(으)시면 | (If you) | [(eu)simyeon] |  | TOPIK I Level 2
~(으)시겠어요 | (You will probably) | [(eu)sigesseoyo] |  | TOPIK I Level 2
~(으)시다 | (Let's) | [(eu)sida] |  | TOPIK I Level 2
~(으)십시오 | (Please) | [(eu)sipsio] |  | TOPIK I Level 2
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
~(으)나마 | (At least, even if only) | [(eu)namah] |  | TOPIK II Level 3
~(으)니깐 | (Because, so) | [(eu)nikkan] |  | TOPIK II Level 3
~(으)려다가 | (Was about to, tried to) | [(eu)ryeodaga] |  | TOPIK II Level 3
~(으)리니 | (Of course, as one would expect) | [(eu)rini] |  | TOPIK II Level 3
~(으)면 할수록 | (The more... the more...) | [(eu)myeon halsurok] |  | TOPIK II Level 3
~(으)면서는 | (While, whereas) | [(eu)myeonseoneun] |  | TOPIK II Level 3
~(으)시거나 | (Either... or... [honorific]) | [(eu)sigeona] |  | TOPIK II Level 3
~(으)시든지 | (Whether... or... [honorific]) | [(eu)sideunji] |  | TOPIK II Level 3
~(으)않을까 | (Maybe, perhaps) | [(eu)anh] | eul | kka
~(으)ㄴ/는 바에 | (While, when) | [(eu)n/neun ba] | e | 
~(으)ㄹ 데가 없다 | (There's no way to...) | [(eu)l dega eopda] |  | TOPIK II Level 3
~(으)ㄹ 수밖에 없다 | (Have no choice but to) | [(eu)l subakke eopda] |  | TOPIK II Level 3
~(으)ㄹ지라도 | (Even if) | [(eu)ljirado] |  | TOPIK II Level 3
~(으)ㄹ 턱이 없다 | (It's impossible to) | [(eu)l teog] | i eopda | 
~(으)려나 | (I wonder if...) | [(eu)ryeona] |  | TOPIK II Level 3
~겠지만 | (I think, but) | [gesjiman] |  | TOPIK II Level 3
~게 되다 | (End up, come to) | [ge dweda] |  | TOPIK II Level 3
~게 하다 | (Make/cause someone to do) | [ge hada] |  | TOPIK II Level 3
~고 말다 | (End up) | [go malda] |  | TOPIK II Level 3
~고 말하다 | (Say that...) | [go malhada] |  | TOPIK II Level 3
~고 보면 | (When you see/consider, upon closer look) | [go bomyeon] |  | TOPIK II Level 3
~고서 | (After doing) | [goseo] |  | TOPIK II Level 3
~고자 | (In order to) | [goja] |  | TOPIK II Level 3
~기는 하다 | (Do something but...) | [gineun hada] |  | TOPIK II Level 3
~기로 하다 | (Decide to) | [giro hada] |  | TOPIK II Level 3
~기로 되다 | (It is decided/settled) | [giro dweda] |  | TOPIK II Level 3
~기 시작하다 | (Begin to) | [gi sijakhada] |  | TOPIK II Level 3
~기 전에 | (Before) | [gi jeone] |  | TOPIK II Level 3
~기 힘들다 | (It's hard to) | [gi himdeulda] |  | TOPIK II Level 3
~기를 | (In order to) | [gireul] |  | TOPIK II Level 3
~기만 하다 | (Just) | [giman hada] |  | TOPIK II Level 3
~기에는 | (For, in order to) | [gieneun] |  | TOPIK II Level 3
~나 보다 | (It seems, looks like) | [na boda] |  | TOPIK II Level 3
~나요? | (Isn't it?, right?) | [nayo?] |  | TOPIK II Level 3
~남짓 | (About, around) | [namjit] |  | TOPIK II Level 3
~는 김에 | (While at it, since) | [neun gim] | e | 
~는 대로 | (As is, the way it is) | [neun daero] |  | TOPIK II Level 3
~는 데요 | (But, however | [softener)] | neun deyo | 
~는 바와 같이 | (Just like, as if) | [neun bawa gachi] |  | TOPIK II Level 3
~는 편이다 | (Tend to) | [neun pyeonida] |  | TOPIK II Level 3
~는다는 것 | (The fact that) | [neundaneun geot] |  | TOPIK II Level 3
~는데 | (But, and, so) | [neunde] |  | TOPIK II Level 3
~는지 알다/모르다 | (Know/don't know whether) | [neunji alda/moreuda] |  | TOPIK II Level 3
~는지라 | (Because, since) | [neunjira] |  | TOPIK II Level 3
~니까요 | (Because, so | [softener)] | nikka | yo
~다가 | (While doing, was doing but) | [daga] |  | TOPIK II Level 3
~다가는 | (If continue doing) | [daganeun] |  | TOPIK II Level 3
~다가도 | (Even though was doing) | [dagado] |  | TOPIK II Level 3
~다니 | (Exclamation, surprise) | [dani] |  | TOPIK II Level 3
~다면 | (If it is the case that) | [damyeon] |  | TOPIK II Level 3
~더라도 | (Even if) | [deorado] |  | TOPIK II Level 3
~더라구요 | (It seemed, I noticed) | [deoraguyo] |  | TOPIK II Level 3
~던 | (That used to) | [deon] |  | TOPIK II Level 3
~도록 | (So that, in order to) | [dorok] |  | TOPIK II Level 3
~도록 하다 | (Make sure, see to it that) | [dorok hada] |  | TOPIK II Level 3
~라든지 | (Or, either) | [radeunji] |  | TOPIK II Level 3
~라도 | (Even if, at least) | [rado] |  | TOPIK II Level 3
~라서 | (Because, so) | [raseo] |  | TOPIK II Level 3
~라야 하다 | (Must, have to) | [rayahada] |  | TOPIK II Level 3
~려고 | (Intending to, planning to) | [ryeogo] |  | TOPIK II Level 3
~려고 하다 | (Try to, plan to) | [ryeogo hada] |  | TOPIK II Level 3
~려는데 | (Trying to, want to, but) | [ryeoneunde] |  | TOPIK II Level 3
~리가 없다 | (There’s no way that) | [riga eopda] |  | TOPIK II Level 3
~리요 | (Likely, probably) | [riyo] |  | TOPIK II Level 3
~마다 | (Every) | [mada] |  | TOPIK II Level 3
~만 | (Only, just) | [man] |  | TOPIK II Level 3
~만 하다 | (Only, just) | [man hada] |  | TOPIK II Level 3
~만은 아니다 | (Not just) | [man] | eun anida | 
~만큼 | (As much as, as many as) | [mankeum] |  | TOPIK II Level 3
~며/면서 | (While) | [myeo/myeonseo] |  | TOPIK II Level 3
~면 | (If) | [myeon] |  | TOPIK II Level 3
~면 어때 | (How about if) | [myeon eottae] |  | TOPIK II Level 3
~면서도 | (Even though, while) | [myeonseodo] |  | TOPIK II Level 3
~밖에 | (Only, nothing but) | [bakke] |  | TOPIK II Level 3
~부터 | (From) | [buteo] |  | TOPIK II Level 3
~부터 ~까지 | (From ~ to) | [buteo ~ kkaji] |  | TOPIK II Level 3
~사이 | (Between) | [sai] |  | TOPIK II Level 3
~세요 | (Please do, let’s do) | [seyo] |  | TOPIK II Level 3
~아/어 보다 | (Try) | [a/eo boda] |  | TOPIK II Level 3
~아/어 버리다 | (Regrettably, completely) | [a/eo beorida] |  | TOPIK II Level 3
~아/어 다니다 | (Keep doing, repeatedly do) | [a/eo danida] |  | TOPIK II Level 3
~아/어 두다 | (Leave something in a state) | [a/eo duda] |  | TOPIK II Level 3
~아/어 놓다 | (Do in advance, set something up) | [a/eo nohda] |  | TOPIK II Level 3
~아/어야 되다/하다 | (Have to, must) | [a/eoya dweda/hada] |  | TOPIK II Level 3
~아/어지다 | (Become, get) | [a/eojida] |  | TOPIK II Level 3
~아서/어서 | (So, because, and) | [aseo/eoseo] |  | TOPIK II Level 3
~았/었다가 | (Did something and then another situation occurred) | [at/eotdagga] |  | TOPIK II Level 3
~았/었던 | (That used to be) | [at/eotdeon] |  | TOPIK II Level 3
~았/었으면 좋겠다 | (I hope, wish) | [at/eosseumyeon johgetda] |  | TOPIK II Level 3
~았/었지만 | (But, however, even though) | [at/eotjiman] |  | TOPIK II Level 3
~았/었지요 | (Explanatory, as you know) | [at/eotjiyo] |  | TOPIK II Level 3
~어야지 | (Intention, resolution) | [eoyaji] |  | TOPIK II Level 3
~었더라면 | (If it had been the case that) | [eotdeoramyeon] |  | TOPIK II Level 3
~에 | (At, on, in, to) | [e] |  | TOPIK II Level 3
~에 따라 | (According to, depends on) | [e ddara] |  | TOPIK II Level 3
~에 따르다 | (To be attributed to, according to) | [e ddareuda] |  | TOPIK II Level 3
~에 비해 | (Compared to) | [e bihae] |  | TOPIK II Level 3
~에게 | (To someone, for someone) | [ege] |  | TOPIK II Level 3
~에서 | (At, in) | [eseo] |  | TOPIK II Level 3
~에서부터 ~까지 | (From ~ to) | [eseobuteo ~ kkaji] |  | TOPIK II Level 3
~와/과 | (And, with) | [wa/gwa] |  | TOPIK II Level 3
~와/과 같다 | (Be the same as, like) | [wa/gwa gatda] |  | TOPIK II Level 3
~와/과 달리 | (Unlike, different from) | [wa/gwa dalli] |  | TOPIK II Level 3
~외에 | (Besides, except for) | [oe] | e | 
~을/를 통해 | (Through, by means of) | [eul/reul tonghae] |  | TOPIK II Level 3
~이/가 되다 | (Become) | [i/ga dweda] |  | TOPIK II Level 3
~이/가 아니다 | (Is not, are not) | [i/ga anida] |  | TOPIK II Level 3
~이라도 | (Even if, at least) | [irado] |  | TOPIK II Level 3
~이래 | (Since then) | [irae] |  | TOPIK II Level 3
~이랑 | (And, with) | [irang] |  | TOPIK II Level 3
~이렇게 | (Like this, in this way) | [ireohge] |  | TOPIK II Level 3
~이므로 | (Therefore, because) | [imyeo] |  | TOPIK II Level 3
~이어서 | (And then, and so) | [ieoseo] |  | TOPIK II Level 3
~이었다 | (Was, were) | [ieotda] |  | TOPIK II Level 3
~이에요/예요 | (Is, am, are) | [ie] | yo/ye | yo
~이지만 | (But, however) | [ijiman] |  | TOPIK II Level 3
~인데 | (But, and, so) | [inde] |  | TOPIK II Level 3
~인데다 | (Moreover, besides) | [indeda] |  | TOPIK II Level 3
~인지 | (Whether) | [inji] |  | TOPIK II Level 3
~일 때 | (When, while) | [il ttae] |  | TOPIK II Level 3
~자 | (Let's) | [ja] |  | TOPIK II Level 3
~자마자 | (As soon as) | [jamaja] |  | TOPIK II Level 3
~장 | (Counting unit for items) | [jang] |  | TOPIK II Level 3
~저 | (That kind of) | [jeo] |  | TOPIK II Level 3
~전 | (Before) | [jeon] |  | TOPIK II Level 3
~적 | (Time, instance) | [jeok] |  | TOPIK II Level 3
~죠 | (~Isn't it?) | [jyo] |  | TOPIK II Level 3
~지 않다 | (Negative form) | [ji anta] |  | TOPIK II Level 3
~지 않아도 되다 | (Don't have to) | [ji anado dweda] |  | TOPIK II Level 3
지만 | ( but) | [jiman] |  | TOPIK II Level 3
~지요 | (Isn't it? Right?) | [jiyo] |  | TOPIK II Level 3
~진 않지만 | (Not exactly, but) | [jin antjiman] |  | TOPIK II Level 3
~쯤 | (About, around) | [jjeum] |  | TOPIK II Level 3
~처럼 | (Like, as) | [cheoreom] |  | TOPIK II Level 3
~층 | (Floor count) | [cheung] |  | TOPIK II Level 3
~카지 | (Perhaps, maybe) | [kaji] |  | TOPIK II Level 3
~켤 | (Every, each) | [kkeol] |  | TOPIK II Level 3
~테니까 | (So, therefore) | [tenikka] |  | TOPIK II Level 3
~편이다 | (It is preferable) | [pyeonida] |  | TOPIK II Level 3
~하다가 | (Was doing something and then...) | [hadaga] |  | TOPIK II Level 3
~하면 | (If, when) | [hamyeon] |  | TOPIK II Level 3
~하면서 | (While doing) | [hamyeonseo] |  | TOPIK II Level 3
~하기는 | (Though, although) | [hakineun] |  | TOPIK II Level 3
~하기로 하다 | (Decide to) | [hakiro hada] |  | TOPIK II Level 3
~하기보다 | (Rather than) | [hakiboda] |  | TOPIK II Level 3
~하기에 | (For, considering) | [hakie] |  | TOPIK II Level 3
~하기만 하면 | (As long as) | [hakiman hamyeon] |  | TOPIK II Level 3
~하는 것 같다 | (It seems like) | [haneun geot gatda] |  | TOPIK II Level 3
~하는 데 | (In doing) | [haneun de] |  | TOPIK II Level 3
~하는 편이다 | (Tend to do) | [haneun pyeonida] |  | TOPIK II Level 3
~하는 한 | (As long as) | [haneun han] |  | TOPIK II Level 3
~하는데 | (But, and so) | [haneunde] |  | TOPIK II Level 3
~하다 보면 | (If one keeps doing) | [hada bomyeon] |  | TOPIK II Level 3
~하다가는 | (If continue doing) | [hadaganeun] |  | TOPIK II Level 3
~하여 | (~ing, and) | [hayeo] |  | TOPIK II Level 3
~하여야 | (Must) | [hayeoya] |  | TOPIK II Level 3
~하였다 | (Past formal) | [hayeotda] |  | TOPIK II Level 3
~하자 | (Upon doing, as soon as) | [haja] |  | TOPIK II Level 3
~할 것이다 | (Will, shall) | [hal geotida] |  | TOPIK II Level 3
~할 때마다 | (Every time when) | [hal ttaemada] |  | TOPIK II Level 3
~할 만하다 | (Worth doing) | [hal manhada] |  | TOPIK II Level 3
~할 수 있다 | (Can do) | [hal su itda] |  | TOPIK II Level 3
~할 수 없다 | (Cannot do) | [hal su eopda] |  | TOPIK II Level 3
~할 줄 알다 | (Know how to) | [hal jul alda] |  | TOPIK II Level 3
~할지라도 | (Even if) | [haljirado] |  | TOPIK II Level 3
~할지언정 | (Whether ... or) | [haljieonjeong] |  | TOPIK II Level 3
~할 텐데 | (Probably will) | [hal tende] |  | TOPIK II Level 3
~함께 | (Together with) | [hamkke] |  | TOPIK II Level 3
~해 보다 | (Try to do) | [hae boda] |  | TOPIK II Level 3
~해 주다 | (Do for someone) | [hae juda] |  | TOPIK II Level 3
~해야겠다 | (Should do) | [haeyagetda] |  | TOPIK II Level 3
