~거든요 [geondeunyo] (You see; Explaining) |  | TOPIK II Level 4
~을/ㄹ 수록 [eul/l surok] (The more) |  | TOPIK II Level 4
~을/ㄹ 줄 알다 [eul/l jul alda] (Know how to) |  | TOPIK II Level 4
~을/ㄹ지 [eul/lji] (Whether or not) |  | TOPIK II Level 4
~을/ㄹ지도 모르다 [eul/ljido moreuda] (Might) |  | TOPIK II Level 4
~을/ㄹ지라도 [eul/ljirado] (Even if) |  | TOPIK II Level 4
~을/ㄹ지 몰라 [eul/lji molla] (Maybe) |  | TOPIK II Level 4
~을래요 [eullaeyo] (Want to) |  | TOPIK II Level 4
~을리가 없다 [eulliga eopda] (It's unlikely that) |  | TOPIK II Level 4
~을수록 [eulsurok] (The more) |  | TOPIK II Level 4
~을지언정 [euljieonjeong] (Even though) |  | TOPIK II Level 4
~이나 [ina] (Or, whether) |  | TOPIK II Level 4
~이든 [ideun] (Either or) |  | TOPIK II Level 4
~이라도 [irado] (At least, even if) |  | TOPIK II Level 4
~이라는 것 [iraneun geot] (The thing called) |  | TOPIK II Level 4
~이라면 [iramyeon] (If it's the case that) |  | TOPIK II Level 4
~이래 [irae] (Like this, in this manner) |  | TOPIK II Level 4
~이랑 [irang] (And, with) |  | TOPIK II Level 4
~이러하다 [ireohada] (Like this) |  | TOPIK II Level 4
~이런/그런/저런 [ireon/geureon/jeoreon] (This kind of/that kind of/that kind over there) |  | TOPIK II Level 4
~이므로 [imuro] (Because, since) |  | TOPIK II Level 4
~이야 [iya] (Is, informal declaration) |  | TOPIK II Level 4
~이지만 [ijiman] (But, although) |  | TOPIK II Level 4
~이후 [ihu] (After, since) |  | TOPIK II Level 4
~인즉 [injeuk] (In other words, that is to say) |  | TOPIK II Level 4
~자 [ja] (Let's) |  | TOPIK II Level 4
~자마자 [jamaja] (As soon as) |  | TOPIK II Level 4
~전에/전까지 [jeone/jeonkkaji] (Before/by the time of) |  | TOPIK II Level 4
~정도 [jeongdo] (About, approximately) |  | TOPIK II Level 4
~제 [je] (Although, even if) |  | TOPIK II Level 4
~조차 [jocha] (Even) |  | TOPIK II Level 4
~존재하다 [jonjaehada] (To exist) |  | TOPIK II Level 4
~줄 알다 [jul alda] (Thought that) |  | TOPIK II Level 4
~즉시 [jeukshi] (Immediately, at once) |  | TOPIK II Level 4
~지 않다 [ji anta] (Negative form) |  | TOPIK II Level 4
~지 않아도 되다 [ji anado dweda] (Do not have to) |  | TOPIK II Level 4
~지 않을까 [ji anheulkka] (Perhaps) |  | TOPIK II Level 4
~지만 [jimyeon] (But, however) |  | TOPIK II Level 4
~지요 [jiyo] (~right?, isn't it?) |  | TOPIK II Level 4
~진 않다 [jin anta] (Not really) |  | TOPIK II Level 4
~처럼 [cheoreom] (Like, as if) |  | TOPIK II Level 4
~쳐서 [chyeoseo] (So) |  | TOPIK II Level 4
~카이다 [kaida] (Seems like) |  | TOPIK II Level 4
~커녕 [keonyeong] (Let alone, far from) |  | TOPIK II Level 4
~케 되다 [ke dweda] (Become) |  | TOPIK II Level 4
~케 하다 [ke hada] (Make) |  | TOPIK II Level 4
~케하다 [kehada] (To make so that) |  | TOPIK II Level 4
~키가 크다/작다 [kiga keuda/jakda] (To be tall/short) |  | TOPIK II Level 4
~키로 [kiro] (By means of, with) |  | TOPIK II Level 4
~타다 [tada] (To take, ride) |  | TOPIK II Level 4
~테니까 [tenikka] (Because) |  | TOPIK II Level 4
~토록 [torok] (So that, to the extent that) |  | TOPIK II Level 4
~하게 되다 [hage dweda] (End up doing) |  | TOPIK II Level 4
~하고 있다 [hago itda] (Is doing) |  | TOPIK II Level 4
~하고 나서 [hago naseo] (After doing) |  | TOPIK II Level 4
~하고 싶다 [hago sipda] (Want to do) |  | TOPIK II Level 4
~하기로 하다 [hakiro hada] (Decide to do) |  | TOPIK II Level 4
~하기는 하다 [hakineun hada] (Do to some extent) |  | TOPIK II Level 4
~하기도 하다 [hakido hada] (Do sometimes) |  | TOPIK II Level 4
~하기보다 [hakiboda] (Rather than doing) |  | TOPIK II Level 4
~하나 [hana] (But, however) |  | TOPIK II Level 4
~하면 할수록 [hamyeon halsurok] (The more... the more) |  | TOPIK II Level 4
