이/가 | [i/ga] | (Subject markers) |  | TOPIK I Level 1
아/어/여야 되다 | [a/eo/yeoya doeda] | (Must, have to) |  | TOPIK I Level 1
(으)면서 | [(eu)myeonseo] | (While, and) |  | TOPIK I Level 1
다가 | [daga] | (And then, but) |  | TOPIK I Level 1
아/어/여 보이다 | [a/eo/yeo boida] | (Looks, seems) |  | TOPIK I Level 1
아/어/여 버리다 | [a/eo/yeo beorida] | (Completely, regretfully) |  | TOPIK I Level 1
아/어/여 놓다 | [a/eo/yeo nohda] | (Leave something as is) |  | TOPIK I Level 1
아/어/여 지다 | [a/eo/yeo jida] | (Become) |  | TOPIK I Level 1
아/어/여 가지다 | [a/eo/yeo gajida] | (Have, possess) |  | TOPIK I Level 1
(으)ㄴ/는 편이다 | [(eu)n/neun pyeonida] | (Tend to) |  | TOPIK I Level 1
는/은 데 | [neun/eun de] | (Situation or condition) |  | TOPIK I Level 1
아/어/여야겠다 | [a/eo/yeoya getda] | (Should, must) |  | TOPIK I Level 1
아/어/여서는 안 되다 | [a/eo/yeoseoneun an doeda] | (Must not, shouldn't) |  | TOPIK I Level 1
아/어/여 주세요 | [a/eo/yeo juseyo] | (Please give/do for me) |  | TOPIK I Level 1
아/어/여 드리다 | [a/eo/yeo deurida] | (To give – honorific) |  | TOPIK I Level 1
다니다 | [danida] | (To attend, go regularly) |  | TOPIK I Level 1
아/어/여 가다 | [a/eo/yeo gada] | (Be going to do) |  | TOPIK I Level 1
아/어/여 오다 | [a/eo/yeo oda] | (Come to do) |  | TOPIK I Level 1
아/어/여 있다 | [a/eo/yeo itda] | (To be doing) |  | TOPIK I Level 1
아/어/여 보다 | [a/eo/yeo boda] | (Try to do) |  | TOPIK I Level 1
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
~게 되다 | [ge doeda] | (End up doing) |  | TOPIK I Level 2
~게 하다 | [ge hada] | (Make/let someone do) |  | TOPIK I Level 2
~고 싶다 | [go sipda] | (Want to do) |  | TOPIK I Level 2
~기 전에 | [gi jeone] | (Before doing) |  | TOPIK I Level 2
~기 때문에 | [gi ttaemune] | (Because of doing) |  | TOPIK I Level 2
~기로 하다 | [giro hada] | (Decide to do) |  | TOPIK I Level 2
~기 시작하다 | [gi sijakhada] | (Start to do) |  | TOPIK I Level 2
~기는 하다 | [gineun hada] | (Do something as a habit) |  | TOPIK I Level 2
~는 대로 | [neun daero] | (As it is) |  | TOPIK I Level 2
~는 바람에 | [neun barame] | (Because of) |  | TOPIK I Level 2
~는 데 | [neun de] | (But) |  | TOPIK I Level 2
~는지 모르다 | [neunji moreuda] | (Don't know if) |  | TOPIK I Level 2
~는지 알다 | [neunji alda] | (Know if) |  | TOPIK I Level 2
~마다 | [mada] | (Every) |  | TOPIK I Level 2
~부터 ~까지 | [buteo ~ kkaji] | (From ~ to ~) |  | TOPIK I Level 2
~아/어/여 보이다 | [a/eo/yeo boida] | (Seems, looks like) |  | TOPIK I Level 2
~아/어/여 주다 | [a/eo/yeo juda] | (Do for someone) |  | TOPIK I Level 2
~아/어/여야만 하다 | [a/eo/yeoyaman hada] | (Have to do) |  | TOPIK I Level 2
~아/어/여도 되다 | [a/eo/yeodo doeda] | (Is it okay to) |  | TOPIK I Level 2
~아/어/여서는 안 되다 | [a/eo/yeoseoneun an doeda] | (Must not) |  | TOPIK I Level 2
~아/어서 | [a/eoseo] | (Because, so) |  | TOPIK I Level 2
~았/었으면 좋겠다 | [at/eosseumyeon joketda] | (I wish/hope) |  | TOPIK I Level 2
~어/아야 하다 | [eo/ayahada] | (Have to, should) |  | TOPIK I Level 2
~어/아도 | [eo/ado] | (Even if) |  | TOPIK I Level 2
~어/아 버리다 | [eo/a beorida] | (Regretfully, completely) |  | TOPIK I Level 2
~으면/면 | [eumyeon/myeon] | (If, when) |  | TOPIK I Level 2
~을/를 빼다 | [eul/reul ppaeda] | (Except for) |  | TOPIK I Level 2
~을/를 수 있다 | [eul/reul su itda] | (Can, possible) |  | TOPIK I Level 2
~을/를 통해 | [eul/reul tonghae] | (Through, via) |  | TOPIK I Level 2
~을까 | [eulkka] | (Shall we?) |  | TOPIK I Level 2
~을래 | [eullae] | (Want to) |  | TOPIK I Level 2
~을지라도 | [euljirado] | (Even if) |  | TOPIK I Level 2
~을지언정 | [euljieonjeong] | (Whether... or...) |  | TOPIK I Level 2
~이 되다 | [i doeda] | (Become) |  | TOPIK I Level 2
~이나 ~ | [ina] | (Either, or) |  | TOPIK I Level 2
~이라도 | [irado] | (At least) |  | TOPIK I Level 2
~이랑 | [irang] | (And, with) |  | TOPIK I Level 2
~이래 | [irae] | (Since) |  | TOPIK I Level 2
~이므로 | [imyeo] | (Because, so) |  | TOPIK I Level 2
~이어서 | [ieoseo] | (And then, so) |  | TOPIK I Level 2
~이지만 | [ijiman] | (But, however) |  | TOPIK I Level 2
~인/는데 | [in/neunde] | (But, so) |  | TOPIK I Level 2
~자 | [ja] | (Let’s) |  | TOPIK I Level 2
~자마자 | [jamaja] | (As soon as) |  | TOPIK I Level 2
~처럼 | [cheoreom] | (Like, as) |  | TOPIK I Level 2
~쯤 | [jjeum] | (Around, about) |  | TOPIK I Level 2
~지 않다 | [ji anta] | (Not) |  | TOPIK I Level 2
~지만 | [jiman] | (But) |  | TOPIK I Level 2
~지요/~죠 | [jiyo/jyo] | (Isn’t it?, right?) |  | TOPIK I Level 2
~채 | [(Still, yet)] | (로) | chae | (ro)
~하고 | [hago] | (And, with) |  | TOPIK I Level 2
~하기로 | [hagiro] | (Decide to) |  | TOPIK I Level 2
~하기는 | [hagineun] | (But) |  | TOPIK I Level 2
~하기보다 | [hagiboda] | (Rather than) |  | TOPIK I Level 2
~하나 | [hana] | (Questioning oneself) |  | TOPIK I Level 2
~하다가 | [hadaga] | (Doing and then) |  | TOPIK I Level 2
~하다가 말다 | [hadaga malda] | (Stop doing something) |  | TOPIK I Level 2
~하더라 | [hadeora] | (I observed, I remember) |  | TOPIK I Level 2
~하려고 | [haryeogo] | (In order to) |  | TOPIK I Level 2
~하여/해서 | [hayeo/haeseo] | (So, therefore) |  | TOPIK I Level 2
~한테/한테서 | [hante/hanteseo] | (To/From someone) |  | TOPIK I Level 2
~할 거예요 | [hal geoyeyo] | (Going to do) |  | TOPIK I Level 2
~할 만하다 | [hal manhada] | (Worth doing) |  | TOPIK I Level 2
~할 수록 | [hal surok] | (The more...) |  | TOPIK I Level 2
~할 줄 알다 | [hal jul alda] | (Know how to) |  | TOPIK I Level 2
~할지라도 | [haljirado] | (Even if) |  | TOPIK I Level 2
~할 텐데 | [hal tende] | (I thought/would have thought that..) |  | TOPIK I Level 2
~해야지 | [haeyaji] | (Decide to) |  | TOPIK I Level 2
~해도/해봐도 | [haedo/haebwado] | (Even if) |  | TOPIK I Level 2
~해보다 | [haeboda] | (Try to) |  | TOPIK I Level 2
~해주다 | [haejuda] | (Do for someone) |  | TOPIK I Level 2
~했더니 | [haetdeoni] | (When, and then) |  | TOPIK I Level 2
~했었다 | [haesseotda] | (Had done) |  | TOPIK I Level 2
~했으면 | [haesseumyeon] | (If it were) |  | TOPIK I Level 2
~했을 때 | [haesseul ttae] | (When someone did) |  | TOPIK I Level 2
~했을 텐데 | [haesseul tende] | (I think I did) |  | TOPIK I Level 2
~했지만 | [haetjiman] | (But, however) |  | TOPIK I Level 2
~혀/어/여 | [hyeo/eo/yeo] | (Because, so) |  | TOPIK I Level 2
~혀/어/여야 | [hyeo/eo/yeoya] | (Have to) |  | TOPIK I Level 2
~후에 | [hue] | (After) |  | TOPIK I Level 2
~(으)나 | [(eu)na] | (But, however) |  | TOPIK I Level 2
~(으)ㄹ까요? | [(eu)lkka yo?] | (Shall we?) |  | TOPIK I Level 2
~(으)ㄹ래요 | [(eu)llae yo] | (I will) |  | TOPIK I Level 2
~(으)면서 | [(eu)myeonseo] | (While) |  | TOPIK I Level 2
~(으)로 | [(eu)ro] | (Towards, by means of) |  | TOPIK I Level 2
~(으)로서 | [(eu)roseo] | (As) |  | TOPIK I Level 2
~(으)로써 | [(eu)rosseo] | (By, as) |  | TOPIK I Level 2
~(으)려고 하다 | [(eu)ryeogo hada] | (To try to) |  | TOPIK I Level 2
~(으)리라 | [(eu)rira] | (Probably) |  | TOPIK I Level 2
~(으)실 거예요 | [(eu)sil geoyeyo] | (You will probably) |  | TOPIK I Level 2
~(으)면 좋겠다 | [(eu)myeon jokgetda] | (It would be good if) |  | TOPIK I Level 2
~(으)면서도 | [(eu)myeonseodo] | (While, although) |  | TOPIK I Level 2
~(으)니까 | [(eu)nikka] | (Because, since) |  | TOPIK I Level 2
~(으)다 보니 | [(eu)da boni] | (Seeing that, as) |  | TOPIK I Level 2
~(으)다가 | [(eu)daga] | (And then, but) |  | TOPIK I Level 2
~(으)던 | [(eu)deon] | (Who used to) |  | TOPIK I Level 2
~(으)려면 | [(eu)ryeomyeon] | (In order to) |  | TOPIK I Level 2
~(으)ㄹ 수록 | [(eu)l surok] | (The more) |  | TOPIK I Level 2
~(으)ㄴ/는 중 | [(eu)n/neun jung] | (In the middle of) |  | TOPIK I Level 2
~(으)ㄴ/는 탓에 | [(eu)n/neun tase] | (Because of) |  | TOPIK I Level 2
~(으)ㄴ/는데다가 | [(eu)n/neundedaga] | (Moreover, additionally) |  | TOPIK I Level 2
~(으)ㄴ/는데도 불구하고 | [(eu)n/neundedo bulguhago] | (Despite, in spite of) |  | TOPIK I Level 2
~(으)ㄴ/는 바람에 | [(eu)n/neun baram] | (Because of, due to) | e | 
~(으)ㄴ/는지 모르겠다 | [(eu)n/neunji moreugessda] | (I'm not sure if) |  | TOPIK I Level 2
~(으)려는 참이다 | [(eu)ryeoneun chamida] | (I really want to) |  | TOPIK I Level 2
~(으)ㄹ 것 같다 | [(eu)l geot gatda] | (It seems like) |  | TOPIK I Level 2
~(으)ㄹ 것이다 | [(eu)l geosida] | (Will likely) |  | TOPIK I Level 2
~(으)ㄹ 뿐만 아니라 | [(eu)l ppunman anira] | (Not only, but also) |  | TOPIK I Level 2
~(으)ㄹ 뿐이다 | [(eu)l ppunida] | (Only, just) |  | TOPIK I Level 2
~(으)ㄹ게요 | [(eu)lgeyo] | (I will, in the future) |  | TOPIK I Level 2
~(으)ㄹ게 | [(eu)lge] | (I will, in the future) |  | TOPIK I Level 2
~(으)ㄹ래 | [(eu)llae] | (I want to) |  | TOPIK I Level 2
~(으)ㄹ라고 | [(eu)llago] | (Intend to) |  | TOPIK I Level 2
~(으)ㄹ 테니까 | [(eu)l tenikka] | (Since I assume) |  | TOPIK I Level 2
~(으)ㄹ지라도 | [(eu)ljirado] | (Even if) |  | TOPIK I Level 2
~(으)면서도 | [(eu)myeonseodo] | (While, although) |  | TOPIK I Level 2
~(으)시면 | [(eu)simyeon] | (If you) |  | TOPIK I Level 2
~(으)시겠어요 | [(eu)sigesseoyo] | (You will probably) |  | TOPIK I Level 2
~(으)시다 | [(eu)sida] | (Let's) |  | TOPIK I Level 2
~(으)십시오 | [(eu)sipsio] | (Please) |  | TOPIK I Level 2
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
~(으)나마 | [(eu)namah] | (At least, even if only) |  | TOPIK II Level 3
~(으)니깐 | [(eu)nikkan] | (Because, so) |  | TOPIK II Level 3
~(으)려다가 | [(eu)ryeodaga] | (Was about to, tried to) |  | TOPIK II Level 3
~(으)리니 | [(eu)rini] | (Of course, as one would expect) |  | TOPIK II Level 3
~(으)면 할수록 | [(eu)myeon halsurok] | (The more... the more...) |  | TOPIK II Level 3
~(으)면서는 | [(eu)myeonseoneun] | (While, whereas) |  | TOPIK II Level 3
~(으)시거나 | [(eu)sigeona] | (Either... or... [honorific]) |  | TOPIK II Level 3
~(으)시든지 | [(eu)sideunji] | (Whether... or... [honorific]) |  | TOPIK II Level 3
~(으)않을까 | [(eu)anh] | (Maybe, perhaps) | eul | kka
~(으)ㄴ/는 바에 | [(eu)n/neun ba] | (While, when) | e | 
~(으)ㄹ 데가 없다 | [(eu)l dega eopda] | (There's no way to...) |  | TOPIK II Level 3
~(으)ㄹ 수밖에 없다 | [(eu)l subakke eopda] | (Have no choice but to) |  | TOPIK II Level 3
~(으)ㄹ지라도 | [(eu)ljirado] | (Even if) |  | TOPIK II Level 3
~(으)ㄹ 턱이 없다 | [(eu)l teog] | (It's impossible to) | i eopda | 
~(으)려나 | [(eu)ryeona] | (I wonder if...) |  | TOPIK II Level 3
~겠지만 | [gesjiman] | (I think, but) |  | TOPIK II Level 3
~게 되다 | [ge dweda] | (End up, come to) |  | TOPIK II Level 3
~게 하다 | [ge hada] | (Make/cause someone to do) |  | TOPIK II Level 3
~고 말다 | [go malda] | (End up) |  | TOPIK II Level 3
~고 말하다 | [go malhada] | (Say that...) |  | TOPIK II Level 3
~고 보면 | [go bomyeon] | (When you see/consider, upon closer look) |  | TOPIK II Level 3
~고서 | [goseo] | (After doing) |  | TOPIK II Level 3
~고자 | [goja] | (In order to) |  | TOPIK II Level 3
~기는 하다 | [gineun hada] | (Do something but...) |  | TOPIK II Level 3
~기로 하다 | [giro hada] | (Decide to) |  | TOPIK II Level 3
~기로 되다 | [giro dweda] | (It is decided/settled) |  | TOPIK II Level 3
~기 시작하다 | [gi sijakhada] | (Begin to) |  | TOPIK II Level 3
~기 전에 | [gi jeone] | (Before) |  | TOPIK II Level 3
~기 힘들다 | [gi himdeulda] | (It's hard to) |  | TOPIK II Level 3
~기를 | [gireul] | (In order to) |  | TOPIK II Level 3
~기만 하다 | [giman hada] | (Just) |  | TOPIK II Level 3
~기에는 | [gieneun] | (For, in order to) |  | TOPIK II Level 3
~나 보다 | [na boda] | (It seems, looks like) |  | TOPIK II Level 3
~나요? | [nayo?] | (Isn't it?, right?) |  | TOPIK II Level 3
~남짓 | [namjit] | (About, around) |  | TOPIK II Level 3
~는 김에 | [neun gim] | (While at it, since) | e | 
~는 대로 | [neun daero] | (As is, the way it is) |  | TOPIK II Level 3
~는 데요 | [softener)] | (But, however | neun deyo | 
~는 바와 같이 | [neun bawa gachi] | (Just like, as if) |  | TOPIK II Level 3
~는 편이다 | [neun pyeonida] | (Tend to) |  | TOPIK II Level 3
~는다는 것 | [neundaneun geot] | (The fact that) |  | TOPIK II Level 3
~는데 | [neunde] | (But, and, so) |  | TOPIK II Level 3
~는지 알다/모르다 | [neunji alda/moreuda] | (Know/don't know whether) |  | TOPIK II Level 3
~는지라 | [neunjira] | (Because, since) |  | TOPIK II Level 3
~니까요 | [softener)] | (Because, so | nikka | yo
~다가 | [daga] | (While doing, was doing but) |  | TOPIK II Level 3
~다가는 | [daganeun] | (If continue doing) |  | TOPIK II Level 3
~다가도 | [dagado] | (Even though was doing) |  | TOPIK II Level 3
~다니 | [dani] | (Exclamation, surprise) |  | TOPIK II Level 3
~다면 | [damyeon] | (If it is the case that) |  | TOPIK II Level 3
~더라도 | [deorado] | (Even if) |  | TOPIK II Level 3
~더라구요 | [deoraguyo] | (It seemed, I noticed) |  | TOPIK II Level 3
~던 | [deon] | (That used to) |  | TOPIK II Level 3
~도록 | [dorok] | (So that, in order to) |  | TOPIK II Level 3
~도록 하다 | [dorok hada] | (Make sure, see to it that) |  | TOPIK II Level 3
~라든지 | [radeunji] | (Or, either) |  | TOPIK II Level 3
~라도 | [rado] | (Even if, at least) |  | TOPIK II Level 3
~라서 | [raseo] | (Because, so) |  | TOPIK II Level 3
~라야 하다 | [rayahada] | (Must, have to) |  | TOPIK II Level 3
~려고 | [ryeogo] | (Intending to, planning to) |  | TOPIK II Level 3
~려고 하다 | [ryeogo hada] | (Try to, plan to) |  | TOPIK II Level 3
~려는데 | [ryeoneunde] | (Trying to, want to, but) |  | TOPIK II Level 3
~리가 없다 | [riga eopda] | (There’s no way that) |  | TOPIK II Level 3
~리요 | [riyo] | (Likely, probably) |  | TOPIK II Level 3
~마다 | [mada] | (Every) |  | TOPIK II Level 3
~만 | [man] | (Only, just) |  | TOPIK II Level 3
~만 하다 | [man hada] | (Only, just) |  | TOPIK II Level 3
~만은 아니다 | [man] | (Not just) | eun anida | 
~만큼 | [mankeum] | (As much as, as many as) |  | TOPIK II Level 3
~며/면서 | [myeo/myeonseo] | (While) |  | TOPIK II Level 3
~면 | [myeon] | (If) |  | TOPIK II Level 3
~면 어때 | [myeon eottae] | (How about if) |  | TOPIK II Level 3
~면서도 | [myeonseodo] | (Even though, while) |  | TOPIK II Level 3
~밖에 | [bakke] | (Only, nothing but) |  | TOPIK II Level 3
~부터 | [buteo] | (From) |  | TOPIK II Level 3
~부터 ~까지 | [buteo ~ kkaji] | (From ~ to) |  | TOPIK II Level 3
~사이 | [sai] | (Between) |  | TOPIK II Level 3
~세요 | [seyo] | (Please do, let’s do) |  | TOPIK II Level 3
~아/어 보다 | [a/eo boda] | (Try) |  | TOPIK II Level 3
~아/어 버리다 | [a/eo beorida] | (Regrettably, completely) |  | TOPIK II Level 3
~아/어 다니다 | [a/eo danida] | (Keep doing, repeatedly do) |  | TOPIK II Level 3
~아/어 두다 | [a/eo duda] | (Leave something in a state) |  | TOPIK II Level 3
~아/어 놓다 | [a/eo nohda] | (Do in advance, set something up) |  | TOPIK II Level 3
~아/어야 되다/하다 | [a/eoya dweda/hada] | (Have to, must) |  | TOPIK II Level 3
~아/어지다 | [a/eojida] | (Become, get) |  | TOPIK II Level 3
~아서/어서 | [aseo/eoseo] | (So, because, and) |  | TOPIK II Level 3
~았/었다가 | [at/eotdagga] | (Did something and then another situation occurred) |  | TOPIK II Level 3
~았/었던 | [at/eotdeon] | (That used to be) |  | TOPIK II Level 3
~았/었으면 좋겠다 | [at/eosseumyeon johgetda] | (I hope, wish) |  | TOPIK II Level 3
~았/었지만 | [at/eotjiman] | (But, however, even though) |  | TOPIK II Level 3
~았/었지요 | [at/eotjiyo] | (Explanatory, as you know) |  | TOPIK II Level 3
~어야지 | [eoyaji] | (Intention, resolution) |  | TOPIK II Level 3
~었더라면 | [eotdeoramyeon] | (If it had been the case that) |  | TOPIK II Level 3
~에 | [e] | (At, on, in, to) |  | TOPIK II Level 3
~에 따라 | [e ddara] | (According to, depends on) |  | TOPIK II Level 3
~에 따르다 | [e ddareuda] | (To be attributed to, according to) |  | TOPIK II Level 3
~에 비해 | [e bihae] | (Compared to) |  | TOPIK II Level 3
~에게 | [ege] | (To someone, for someone) |  | TOPIK II Level 3
~에서 | [eseo] | (At, in) |  | TOPIK II Level 3
~에서부터 ~까지 | [eseobuteo ~ kkaji] | (From ~ to) |  | TOPIK II Level 3
~와/과 | [wa/gwa] | (And, with) |  | TOPIK II Level 3
~와/과 같다 | [wa/gwa gatda] | (Be the same as, like) |  | TOPIK II Level 3
~와/과 달리 | [wa/gwa dalli] | (Unlike, different from) |  | TOPIK II Level 3
~외에 | [oe] | (Besides, except for) | e | 
~을/를 통해 | [eul/reul tonghae] | (Through, by means of) |  | TOPIK II Level 3
~이/가 되다 | [i/ga dweda] | (Become) |  | TOPIK II Level 3
~이/가 아니다 | [i/ga anida] | (Is not, are not) |  | TOPIK II Level 3
~이라도 | [irado] | (Even if, at least) |  | TOPIK II Level 3
~이래 | [irae] | (Since then) |  | TOPIK II Level 3
~이랑 | [irang] | (And, with) |  | TOPIK II Level 3
~이렇게 | [ireohge] | (Like this, in this way) |  | TOPIK II Level 3
~이므로 | [imyeo] | (Therefore, because) |  | TOPIK II Level 3
~이어서 | [ieoseo] | (And then, and so) |  | TOPIK II Level 3
~이었다 | [ieotda] | (Was, were) |  | TOPIK II Level 3
~이에요/예요 | [ie] | (Is, am, are) | yo/ye | yo
~이지만 | [ijiman] | (But, however) |  | TOPIK II Level 3
~인데 | [inde] | (But, and, so) |  | TOPIK II Level 3
~인데다 | [indeda] | (Moreover, besides) |  | TOPIK II Level 3
~인지 | [inji] | (Whether) |  | TOPIK II Level 3
~일 때 | [il ttae] | (When, while) |  | TOPIK II Level 3
~자 | [ja] | (Let's) |  | TOPIK II Level 3
~자마자 | [jamaja] | (As soon as) |  | TOPIK II Level 3
~장 | [jang] | (Counting unit for items) |  | TOPIK II Level 3
~저 | [jeo] | (That kind of) |  | TOPIK II Level 3
~전 | [jeon] | (Before) |  | TOPIK II Level 3
~적 | [jeok] | (Time, instance) |  | TOPIK II Level 3
~죠 | [jyo] | (~Isn't it?) |  | TOPIK II Level 3
~지 않다 | [ji anta] | (Negative form) |  | TOPIK II Level 3
~지 않아도 되다 | [ji anado dweda] | (Don't have to) |  | TOPIK II Level 3
지만 | [jiman] | ( but) |  | TOPIK II Level 3
~지요 | [jiyo] | (Isn't it? Right?) |  | TOPIK II Level 3
~진 않지만 | [jin antjiman] | (Not exactly, but) |  | TOPIK II Level 3
~쯤 | [jjeum] | (About, around) |  | TOPIK II Level 3
~처럼 | [cheoreom] | (Like, as) |  | TOPIK II Level 3
~층 | [cheung] | (Floor count) |  | TOPIK II Level 3
~카지 | [kaji] | (Perhaps, maybe) |  | TOPIK II Level 3
~켤 | [kkeol] | (Every, each) |  | TOPIK II Level 3
~테니까 | [tenikka] | (So, therefore) |  | TOPIK II Level 3
~편이다 | [pyeonida] | (It is preferable) |  | TOPIK II Level 3
~하다가 | [hadaga] | (Was doing something and then...) |  | TOPIK II Level 3
~하면 | [hamyeon] | (If, when) |  | TOPIK II Level 3
~하면서 | [hamyeonseo] | (While doing) |  | TOPIK II Level 3
~하기는 | [hakineun] | (Though, although) |  | TOPIK II Level 3
~하기로 하다 | [hakiro hada] | (Decide to) |  | TOPIK II Level 3
~하기보다 | [hakiboda] | (Rather than) |  | TOPIK II Level 3
~하기에 | [hakie] | (For, considering) |  | TOPIK II Level 3
~하기만 하면 | [hakiman hamyeon] | (As long as) |  | TOPIK II Level 3
~하는 것 같다 | [haneun geot gatda] | (It seems like) |  | TOPIK II Level 3
~하는 데 | [haneun de] | (In doing) |  | TOPIK II Level 3
~하는 편이다 | [haneun pyeonida] | (Tend to do) |  | TOPIK II Level 3
~하는 한 | [haneun han] | (As long as) |  | TOPIK II Level 3
~하는데 | [haneunde] | (But, and so) |  | TOPIK II Level 3
~하다 보면 | [hada bomyeon] | (If one keeps doing) |  | TOPIK II Level 3
~하다가는 | [hadaganeun] | (If continue doing) |  | TOPIK II Level 3
~하여 | [hayeo] | (~ing, and) |  | TOPIK II Level 3
~하여야 | [hayeoya] | (Must) |  | TOPIK II Level 3
~하였다 | [hayeotda] | (Past formal) |  | TOPIK II Level 3
~하자 | [haja] | (Upon doing, as soon as) |  | TOPIK II Level 3
~할 것이다 | [hal geotida] | (Will, shall) |  | TOPIK II Level 3
~할 때마다 | [hal ttaemada] | (Every time when) |  | TOPIK II Level 3
~할 만하다 | [hal manhada] | (Worth doing) |  | TOPIK II Level 3
~할 수 있다 | [hal su itda] | (Can do) |  | TOPIK II Level 3
~할 수 없다 | [hal su eopda] | (Cannot do) |  | TOPIK II Level 3
~할 줄 알다 | [hal jul alda] | (Know how to) |  | TOPIK II Level 3
~할지라도 | [haljirado] | (Even if) |  | TOPIK II Level 3
~할지언정 | [haljieonjeong] | (Whether ... or) |  | TOPIK II Level 3
~할 텐데 | [hal tende] | (Probably will) |  | TOPIK II Level 3
~함께 | [hamkke] | (Together with) |  | TOPIK II Level 3
~해 보다 | [hae boda] | (Try to do) |  | TOPIK II Level 3
~해 주다 | [hae juda] | (Do for someone) |  | TOPIK II Level 3
~해야겠다 | [haeyagetda] | (Should do) |  | TOPIK II Level 3
