不得不 (bùdébù) - Have no choice but, cannot but |  | - HSK Level 4
若 (ruò) - If, in case |  | - HSK Level 4
鉴于 (jiànyú) - In light of, considering |  | - HSK Level 4
除了...以外 (chúle... yǐwài) - Except for, besides |  | - HSK Level 4
虽说 (suīshuō) - Although, though |  | - HSK Level 4
不管 (bùguǎn) - No matter (how, what, etc.) |  | - HSK Level 4
只要 (zhǐyào) - As long as |  | - HSK Level 4
宁愿 (nìngyuàn) - Would rather, prefer to |  | - HSK Level 4
尤其 (yóuqí) - Especially, particularly |  | - HSK Level 4
一旦 (yīdàn) - Once, in case |  | - HSK Level 4
否则 (fǒuzé) - Otherwise |  | - HSK Level 4
偶尔 (ǒu'ěr) - Occasionally, now and then |  | - HSK Level 4
此外 (cǐwài) - In addition, moreover |  | - HSK Level 4
起初 (qǐchū) - At first, originally |  | - HSK Level 4
依然 (yīrán) - Still, as before |  | - HSK Level 4
毕竟 (bìjìng) - After all, all in all |  | - HSK Level 4
不同于 (bùtóngyú) - Different from |  | - HSK Level 4
除非 (chúfēi) - Unless |  | - HSK Level 4
反映 (fǎnyìng) - Reflect, mirror |  | - HSK Level 4
根据 (gēnjù) - Based on, according to |  | - HSK Level 4
对比 (duìbǐ) - Compare, contrast |  | - HSK Level 4
不如 (bùrú) - Inferior to, not as good as |  | - HSK Level 4
替代 (tìdài) - Replace, substitute |  | - HSK Level 4
好像 (hǎoxiàng) - Seem, be like |  | - HSK Level 4
接着 (jiēzhe) - Following, then |  | - HSK Level 4
好处 (hǎochù) - Advantage, benefit |  | - HSK Level 4
到底 (dàodǐ) - After all, in the end |  | - HSK Level 4
相当于 (xiāngdāngyú) - Equivalent to |  | - HSK Level 4
难怪 (nánguài) - No wonder, so that's why |  | - HSK Level 4
似乎 (sìhū) - It seems that, as if |  | - HSK Level 4
逐渐 (zhújiàn) - Gradually |  | - HSK Level 4
由此 (yóucǐ) - Hence, thus |  | - HSK Level 4
相对于 (xiāngduìyú) - Relative to, compared with |  | - HSK Level 4
关于 (guānyú) - About, regarding |  | - HSK Level 4
即便 (jíbiàn) - Even if, even though |  | - HSK Level 4
因此 (yīncǐ) - Therefore, so |  | - HSK Level 4
究竟 (jiūjìng) - After all, in the end |  | - HSK Level 4
除...之外 (chú...zhīwài) - Besides, in addition to |  | - HSK Level 4
宁可 (nìngkě) - Would rather, prefer to |  | - HSK Level 4
由于 (yóuyú) - Due to, because of |  | - HSK Level 4
假如 (jiǎrú) - If, suppose |  | - HSK Level 4
值得 (zhídé) - Worth, deserving |  | - HSK Level 4
其次 (qícì) - Secondly, next |  | - HSK Level 4
一方面...另一方面... (yī fāngmiàn... lìng yī fāngmiàn...) - On one hand... on the other hand... |  | - HSK Level 4
照 (zhào) - According to, in accordance with |  | - HSK Level 4
例如 (lìrú) - For instance, for example |  | - HSK Level 4
以为 (yǐwéi) - Assume, think (incorrectly) |  | - HSK Level 4
无论 (wúlùn) - Regardless of, no matter what/who/etc. |  | - HSK Level 4
只要 (zhǐyào) - As long as |  | - HSK Level 4
除非 (chúfēi) - Unless |  | - HSK Level 4
幸亏 (xìngkuī) - Fortunately, luckily |  | - HSK Level 4
只是 (zhǐshì) - Just, only, merely |  | - HSK Level 4
据说 (jùshuō) - It is said, reportedly |  | - HSK Level 4
既...又... (jì...yòu...) - Both... and... |  | - HSK Level 4
几乎 (jīhū) - Almost, nearly |  | - HSK Level 4
不得不 (bùdébù) - Have to, can't help but |  | - HSK Level 4
总的来说 (zǒng de lái shuō) - Generally speaking |  | - HSK Level 4
尽量 (jǐnliàng) - As much as possible, to the best of one’s ability |  | - HSK Level 4
为了 (wèile) - In order to, for the sake of |  | - HSK Level 4
既然 (jìrán) - Since, now that |  | - HSK Level 4
无法 (wúfǎ) - Unable to, can't |  | - HSK Level 4
由 (yóu) - By (indicating a passive voice) |  | - HSK Level 4
比如 (bǐrú) - Such as, for example |  | - HSK Level 4
即使 (jíshǐ) - Even if, even though |  | - HSK Level 4
只有...才... (zhǐyǒu...cái...) - Only if/when... then... |  | - HSK Level 4
甚至 (shènzhì) - Even, so much so that |  | - HSK Level 4
反而 (fǎn'ér) - On the contrary, instead |  | - HSK Level 4
无论...都... (wúlùn...dōu...) - No matter what/who/etc., always... |  | - HSK Level 4
不过 (bùguò) - However, but |  | - HSK Level 4
正好 (zhènghǎo) - Just in time, just right |  | - HSK Level 4
正如 (zhèngrú) - Just as, as |  | - HSK Level 4
随着 (suízhe) - Along with, in pace with |  | - HSK Level 4
与其...不如... (yǔqí... bùrú...) - Rather than... it's better to... |  | - HSK Level 4
只不过 (zhǐ bùguò) - Merely, simply |  | - HSK Level 4
除了...还/也... (chúle... hái/yě...) - Apart from... also... |  | - HSK Level 4
至于 (zhìyú) - As for, regarding |  | - HSK Level 4
虽然...但是... (suīrán... dànshì...) - Although... but... |  | - HSK Level 4
无论如何 (wúlùn rúhé) - No matter what, anyhow |  | - HSK Level 4
到底 (dàodǐ) - At last, finally (used in questions for emphasis) |  | - HSK Level 4
反正 (fǎnzhèng) - Anyway, in any case |  | - HSK Level 4
不是...而是... (bùshì... érshì...) - It's not... but... |  | - HSK Level 4
原来 (yuánlái) - Originally, as it turns out |  | - HSK Level 4
一旦 (yīdàn) - Once, in case (something happens) |  | - HSK Level 4
不然 (bùrán) - Otherwise, or else |  | - HSK Level 4
并且 (bìngqiě) - And, moreover, furthermore |  | - HSK Level 4
若 (ruò) - If, in case |  | - HSK Level 4
以便 (yǐbiàn) - So that, in order to |  | - HSK Level 4
